iterations,fitness,time,fevals
0,75.0,0.000973368000018,718
10,76.0,0.00203149899994,1356
20,76.0,0.00306971999998,1983
30,75.0,0.00410225199994,2618
40,74.0,0.00558932499985,3249
50,75.0,0.00661104799985,3872
60,77.0,0.00791550899987,4501
70,74.0,0.00915283999984,5131
80,75.0,0.0101489629999,5774
90,74.0,0.0110113969999,6406
100,75.0,0.0119813509999,7034
110,73.0,0.0128813319999,7672
120,75.0,0.0138279619999,8295
130,75.0,0.0147484229999,8950
140,74.0,0.0157024479998,9586
150,75.0,0.0166394059999,10217
160,73.0,0.0176491819999,10846
170,74.0,0.021006191,11456
180,74.0,0.021935185,12095
190,74.0,0.022964303,12725
200,76.0,0.023906382,13357
210,77.0,0.0246738119999,13982
220,76.0,0.0254162109999,14612
230,76.0,0.0263053829999,15244
240,76.0,0.0272019499999,15880
250,78.0,0.028232206,16512
260,77.0,0.0291873689999,17143
270,80.0,0.0300674389999,17768
280,81.0,0.0312575529999,18387
290,80.0,0.032196218,19016
300,79.0,0.032878314,19647
310,80.0,0.0338249439999,20283
320,80.0,0.0346981869999,20908
330,79.0,0.0356186479999,21545
340,81.0,0.0365470739998,22170
350,80.0,0.0372405479999,22811
360,79.0,0.0381428039999,23431
370,78.0,0.0391156029998,24062
380,78.0,0.0399251299998,24695
390,78.0,0.0408216969997,25312
400,79.0,0.0417267979997,25938
410,79.0,0.0424828499997,26574
420,77.0,0.0432878259996,27202
430,80.0,0.0439977979997,27829
440,81.0,0.0448864009998,28451
450,81.0,0.0458808169997,29080
460,80.0,0.0465617759997,29712
470,79.0,0.0472569579998,30336
480,78.0,0.0481887969999,30964
490,77.0,0.0491308759998,31597
500,77.0,0.0498220749998,32236
510,78.0,0.0507010069998,32882
520,76.0,0.0515884719998,33528
530,75.0,0.0525208789999,34152
540,75.0,0.0532951349999,34773
550,74.0,0.0541911339998,35402
560,76.0,0.0551326439997,36035
570,74.0,0.0560377449997,36663
580,75.0,0.0567573879997,37296
590,75.0,0.0576732979997,37916
600,79.0,0.0586273229998,38553
610,78.0,0.0596120689999,39190
620,75.0,0.0603231789999,39815
630,76.0,0.0612242979998,40436
640,77.0,0.0621259849999,41062
650,77.0,0.0628996729998,41684
660,77.0,0.0638332189999,42308
670,77.0,0.0647730219998,42933
680,78.0,0.0665422639998,43559
690,79.0,0.0675326989999,44197
700,78.0,0.071106454,44810
710,80.0,0.072002453,45446
720,78.0,0.0729650119999,46076
730,80.0,0.074048744,46709
740,80.0,0.0749515699999,47354
750,77.0,0.0758248139999,47990
760,77.0,0.076840848,48633
770,77.0,0.0775229440001,49256
780,78.0,0.0786021250001,49882
790,79.0,0.0795163280001,50509
800,81.0,0.0804475980001,51146
810,83.0,0.0811797570001,51784
820,81.0,0.0818925740001,52412
830,83.0,0.0828773200001,53045
840,85.0,0.0837864030001,53677
850,81.0,0.0846698860001,54307
860,81.0,0.0855249250001,54928
870,81.0,0.086403288,55542
880,81.0,0.0873265930001,56163
890,81.0,0.088195854,56801
900,80.0,0.089077631,57435
910,80.0,0.089958838,58060
920,77.0,0.0908576810001,58700
930,80.0,0.0917246670001,59330
940,79.0,0.0926013230002,59956
950,79.0,0.0934489660002,60583
960,79.0,0.0942966090001,61201
970,82.0,0.0951653010001,61832
980,82.0,0.0965243740001,62452
990,83.0,0.0974306130001,63083
1000,81.0,0.0986025220002,63731
1010,82.0,0.0994848680002,64358
1020,82.0,0.100410449,64983
1030,80.0,0.101347407,65614
1040,82.0,0.102269005,66252
1050,81.0,0.103155333,66875
1060,81.0,0.10403711,67516
1070,82.0,0.105000237,68147
1080,81.0,0.105866653,68782
1090,84.0,0.106721123,69407
1100,84.0,0.107553406,70030
1110,83.0,0.108428924,70658
1120,84.0,0.109479661,71284
1130,85.0,0.110345509,71908
1140,86.0,0.111233543,72550
1150,88.0,0.11204307,73171
1160,89.0,0.112927691,73795
1170,87.0,0.113815157,74425
1180,85.0,0.114628667,75059
1190,85.0,0.11550703,75689
1200,87.0,0.116404735,76315
1210,87.0,0.117312111,76935
1220,87.0,0.118191612,77569
1230,87.0,0.124119426,78202
1240,84.0,0.124957967,78825
1250,85.0,0.125834624,79450
1260,84.0,0.126698765,80086
1270,87.0,0.127519102,80705
1280,85.0,0.128390638,81331
1290,85.0,0.129248521,81961
1300,85.0,0.130098439,82596
1310,85.0,0.131243042,83228
1320,87.0,0.132263627,83870
1330,87.0,0.132999768,84491
1340,85.0,0.133731358,85128
1350,83.0,0.13450277,85775
1360,84.0,0.135262236,86410
1370,82.0,0.136066074,87040
1380,83.0,0.136765806,87673
1390,84.0,0.137422303,88303
1400,84.0,0.138197698,88941
1410,84.0,0.139007225,89574
1420,84.0,0.139795135,90194
1430,86.0,0.140748022,90835
1440,86.0,0.141340235,91465
1450,85.0,0.142051345,92092
1460,86.0,0.142871681,92723
1470,87.0,0.143711929,93360
1480,84.0,0.144328604,93997
1490,83.0,0.145187625,94623
1500,84.0,0.146033562,95254
1510,84.0,0.146881205,95891
1520,86.0,0.147735106,96528
1530,84.0,0.148611193,97162
1540,86.0,0.149461681,97788
1550,85.0,0.150344595,98417
1560,85.0,0.15115014,99043
1570,85.0,0.151963082,99672
1580,84.0,0.152753836,100312
1590,84.0,0.153611719,100929
1600,84.0,0.154459362,101567
1610,84.0,0.155278561,102187
1620,85.0,0.156035751,102813
1630,86.0,0.156841865,103446
1640,86.0,0.157615553,104067
1650,85.0,0.158394361,104685
1660,84.0,0.159207303,105325
1670,84.0,0.159954253,105947
1680,84.0,0.16073363,106570
1690,85.0,0.161549415,107206
1700,84.0,0.16237544,107844
1710,84.0,0.163169607,108474
1720,84.0,0.164306245,109094
1730,84.0,0.165110653,109726
1740,85.0,0.165910509,110357
1750,84.0,0.16917422,110984
1760,85.0,0.169968957,111614
1770,84.0,0.17078076,112238
1780,84.0,0.171627834,112862
1790,85.0,0.172487993,113501
1800,85.0,0.17337432,114133
1810,84.0,0.174240167,114763
1820,85.0,0.175136166,115394
1830,83.0,0.176018511,116023
1840,85.0,0.176726207,116652
1850,85.0,0.177577832,117283
1860,83.0,0.178417511,117898
1870,84.0,0.179302132,118544
1880,83.0,0.180112229,119181
1890,85.0,0.180757917,119802
1900,86.0,0.181404174,120426
1910,84.0,0.182324635,121061
1920,83.0,0.183226323,121694
1930,85.0,0.184090464,122319
1940,86.0,0.185014907,122962
1950,87.0,0.186014443,123589
1960,87.0,0.186816576,124231
1970,87.0,0.187640894,124869
1980,87.0,0.188468057,125511
1990,87.0,0.189239469,126136
2000,86.0,0.190026241,126763
2010,87.0,0.190827236,127393
2020,87.0,0.191637332,128027
2030,86.0,0.192461082,128652
2040,85.0,0.193083446,129272
2050,86.0,0.193895249,129898
2060,87.0,0.194638216,130544
2070,90.0,0.195447744,131176
2080,85.0,0.19627832,131811
2090,83.0,0.197135065,132439
2100,86.0,0.197995792,133070
2110,87.0,0.198867328,133692
2120,85.0,0.199733176,134324
2130,86.0,0.200574562,134950
2140,84.0,0.201471699,135590
2150,84.0,0.202323324,136216
2160,86.0,0.203180069,136854
2170,85.0,0.204101668,137474
2180,86.0,0.204981738,138103
2190,85.0,0.206120084,138745
2200,87.0,0.207039407,139372
2210,86.0,0.207940526,140012
2220,86.0,0.208824009,140632
2230,85.0,0.209499279,141258
2240,87.0,0.210297998,141901
2250,87.0,0.211256574,142536
2260,88.0,0.214028766,143171
2270,89.0,0.214861618,143795
2280,90.0,0.215691626,144420
2290,90.0,0.216292941,145049
2300,89.0,0.216901652,145670
2310,90.0,0.21764974,146300
2320,91.0,0.218371659,146928
