iterations,fitness,time,fevals
0,76.0,0.0602657269999,1000
10,80.0,0.102736635,2100
20,82.0,0.130273094,3200
30,82.0,0.1697215,4300
40,82.0,0.212661173,5400
50,82.0,0.249288463,6500
60,82.0,0.279555016,7600
70,84.0,0.313278701,8700
80,83.0,0.338012817,9800
90,83.0,0.361539183,10900
100,84.0,0.398589157,12000
110,83.0,0.453487994,13100
120,84.0,0.484677852,14200
130,83.0,0.517454339,15300
140,83.0,0.553115657,16400
150,84.0,0.587130044,17500
160,84.0,0.624468444001,18600
170,83.0,0.652531693001,19700
180,83.0,0.683580466001,20800
190,83.0,0.720285694001,21900
200,83.0,0.749573190001,23000
210,83.0,0.785372179001,24100
220,82.0,0.817347102001,25200
230,84.0,0.850702148001,26300
240,83.0,0.885243895001,27400
250,83.0,0.911089618001,28500
260,83.0,0.947522917001,29600
270,84.0,0.985122437001,30700
280,84.0,1.024483803,31800
290,83.0,1.052973149,32900
300,84.0,1.090390055,34000
310,83.0,1.12962399,35100
320,85.0,1.16776054,36200
330,85.0,1.209156819,37300
340,84.0,1.239276029,38400
350,85.0,1.272090062,39500
360,85.0,1.303860755,40600
370,85.0,1.3424143,41700
380,84.0,1.366188702,42800
390,85.0,1.393601143,43900
400,84.0,1.431163685,45000
410,84.0,1.467342692,46100
420,85.0,1.500803551,47200
430,84.0,1.532359773,48300
440,84.0,1.56929085,49400
450,84.0,1.602793238,50500
460,87.0,1.637263873,51600
470,85.0,1.673799572,52700
480,85.0,1.708952304,53800
490,85.0,1.742365377,54900
500,84.0,1.779240702,56000
510,84.0,1.819372912,57100
520,85.0,1.861178222,58200
530,86.0,1.90527615,59300
540,85.0,1.942669733,60400
550,85.0,1.980635048,61500
560,88.0,2.019120326,62600
570,85.0,2.050094575,63700
580,86.0,2.089806376,64800
590,86.0,2.126606039,65900
600,86.0,2.165606162,67000
610,87.0,2.206205997,68100
620,86.0,2.263191516,69200
630,86.0,2.303544454,70300
640,88.0,2.340889112,71400
650,86.0,2.372511325,72500
660,87.0,2.407395542,73600
670,86.0,2.442931705,74700
680,86.0,2.473594204,75800
690,86.0,2.503358428,76900
700,86.0,2.530466514,78000
710,87.0,2.556277535,79100
