iterations,fitness,time,fevals
0,24.0,0.169137822,1000
10,37.0,0.427760601,2100
20,55.0,0.575425173,3200
30,52.0,0.704308474,4300
40,62.0,0.83740496,5400
50,62.0,0.961382739,6500
60,65.0,1.094403563,7600
70,62.0,1.210324749,8700
80,63.0,1.338041261,9800
90,63.0,1.47093693,10900
100,61.0,1.593944755,12000
110,59.0,1.725198613,13100
120,61.0,1.852233596,14200
130,62.0,1.973032997,15300
140,63.0,2.127606715,16400
150,60.0,2.251937205,17500
160,61.0,2.394761109,18600
170,61.0,2.521031507,19700
180,60.0,2.643209324,20800
190,61.0,2.787800763,21900
200,61.0,2.908256557,23000
210,63.0,3.037941422,24100
220,61.0,3.156882835,25200
230,63.0,3.349387735,26300
240,61.0,3.487514898,27400
250,63.0,3.607562798,28500
260,61.0,3.725091662,29600
270,61.0,3.842317309,30700
280,62.0,3.957129733,31800
290,61.0,4.081428934,32900
300,63.0,4.225796231,34000
310,60.0,4.348483772,35100
320,61.0,4.461154901,36200
330,61.0,4.580302821,37300
340,63.0,4.70103225,38400
350,62.0,4.828978593,39500
360,62.0,4.972943117,40600
370,60.0,5.107784383,41700
380,63.0,5.255735675,42800
390,64.0,5.370213023,43900
400,61.0,5.487975131,45000
410,62.0,5.604407747,46100
420,62.0,5.719746392,47200
430,61.0,5.835126565,48300
440,62.0,5.961076111,49400
450,63.0,6.092335658,50500
460,62.0,6.238625797,51600
470,62.0,6.359814318,52700
480,61.0,6.472342087,53800
490,62.0,6.607097451,54900
500,62.0,6.724302049,56000
510,62.0,6.832866375,57100
520,62.0,6.954568033,58200
530,60.0,7.087706048,59300
540,61.0,7.210379935,60400
550,62.0,7.333678462,61500
560,63.0,7.471327759,62600
570,60.0,7.594364029,63700
580,60.0,7.719857326,64800
590,61.0,7.843958554,65900
600,61.0,7.995061486,67000
610,62.0,8.117602254,68100
620,62.0,8.235987294,69200
630,60.0,8.351055717,70300
640,60.0,8.473673285,71400
650,60.0,8.586565142,72500
660,64.0,8.701811627,73600
670,63.0,8.822637766,74700
680,60.0,8.964106579,75800
690,63.0,9.087537088,76900
700,63.0,9.209590888,78000
710,63.0,9.325934758,79100
720,61.0,9.467338148,80200
730,61.0,9.582508971,81300
740,63.0,9.738548713,82400
750,61.0,9.873137393,83500
760,60.0,10.008820613,84600
770,63.0,10.143276173,85700
780,60.0,10.267170895,86800
790,63.0,10.387578901,87900
800,63.0,10.537849549,89000
810,63.0,10.658763866,90100
820,63.0,10.782233059,91200
830,63.0,10.929845863,92300
840,62.0,11.060435259,93400
850,63.0,11.174442136,94500
860,62.0,11.2889832,95600
870,61.0,11.445230586,96700
880,60.0,11.582921413,97800
890,60.0,11.706136882,98900
900,59.0,11.820240471,100000
910,60.0,11.953989472,101100
920,60.0,12.084320593,102200
930,60.0,12.201994523,103300
940,60.0,12.344493023,104400
950,62.0,12.462755184,105500
960,62.0,12.586821141,106600
970,60.0,12.694084989,107700
980,61.0,12.834676576,108800
990,63.0,12.96287323,109900
1000,67.0,13.131604865,111000
1010,64.0,13.255677649,112100
1020,63.0,13.399028912,113200
1030,61.0,13.526463255,114300
1040,63.0,13.645325593,115400
1050,63.0,13.764389317,116500
1060,65.0,13.916261385,117600
1070,61.0,14.045874001,118700
1080,60.0,14.167789561,119800
1090,63.0,14.282638962,120900
1100,64.0,14.395307815,122000
1110,61.0,14.514393157,123100
1120,63.0,14.638155896,124200
1130,64.0,14.757473913,125300
1140,60.0,14.882549077,126400
1150,61.0,15.003720532,127500
1160,63.0,15.125588305,128600
1170,63.0,15.242553401,129700
1180,60.0,15.353319324,130800
1190,63.0,15.459272454,131900
1200,63.0,15.595450038,133000
1210,62.0,15.713585336,134100
1220,61.0,15.854985881,135200
1230,60.0,15.99277797,136300
1240,60.0,16.134263849,137400
1250,61.0,16.269887905,138500
1260,62.0,16.389162117,139600
1270,61.0,16.513721299,140700
1280,62.0,16.665363537,141800
1290,64.0,16.803028763,142900
1300,62.0,16.957233842,144000
1310,61.0,17.073617534,145100
1320,63.0,17.197242034,146200
1330,62.0,17.321611777,147300
1340,62.0,17.504249881,148400
1350,64.0,17.662996393,149500
1360,61.0,17.78870473,150600
1370,62.0,17.905864955,151700
1380,62.0,18.017199197,152800
1390,61.0,18.167302023,153900
1400,62.0,18.320768116,155000
1410,60.0,18.478211875,156100
1420,62.0,18.593605133,157200
1430,61.0,18.72741216,158300
1440,61.0,18.840429741,159400
1450,61.0,18.956038039,160500
1460,60.0,19.073533907,161600
1470,62.0,19.224109479,162700
1480,61.0,19.352353919,163800
1490,61.0,19.473560076,164900
1500,62.0,19.603971979,166000
1510,62.0,19.77028584,167100
1520,61.0,19.884725072,168200
1530,61.0,20.006752703,169300
1540,62.0,20.131600881,170400
1550,62.0,20.246491811,171500
1560,61.0,20.374821584,172600
1570,62.0,20.509304451,173700
1580,59.0,20.628074628,174800
1590,59.0,20.756552312,175900
1600,61.0,20.875591005,177000
1610,61.0,20.99531919,178100
1620,59.0,21.119780524,179200
1630,60.0,21.251971909,180300
1640,61.0,21.362001691,181400
1650,59.0,21.481357254,182500
1660,62.0,21.591776723,183600
