iterations,fitness,time,fevals
0,15.0,0.000537599,11
10,15.0,0.000888034,21
20,15.0,0.001207181,31
30,15.0,0.001532016,41
40,15.0,0.001848887,51
50,16.0,0.002088958,61
60,16.0,0.002431429,71
70,16.0,0.002785277,81
80,16.0,0.003113526,91
90,16.0,0.003426415,101
100,16.0,0.003677863,111
110,19.0,0.003907125,121
120,19.0,0.004115907,131
130,19.0,0.004292263,141
140,19.0,0.004481134,151
150,19.0,0.005019871,161
160,19.0,0.005215569,171
170,19.0,0.005376564,181
180,19.0,0.005546662,191
190,19.0,0.005745204,201
200,19.0,0.005897097,211
210,19.0,0.00604899,221
220,19.0,0.006218519,231
230,19.0,0.006419905,241
240,19.0,0.006584883,251
250,19.0,0.006757825,261
260,19.0,0.006946127,271
270,20.0,0.00711338,281
280,20.0,0.007305095,291
290,20.0,0.007445611,301
300,20.0,0.007576455,311
310,20.0,0.007695353,321
320,20.0,0.007839851,331
330,20.0,0.007918926,341
340,22.0,0.008059441,351
350,23.0,0.00815729,361
360,23.0,0.00824945,371
370,23.0,0.008350712,381
380,23.0,0.0084844,391
390,23.0,0.008630604,401
400,23.0,0.008730159,411
410,23.0,0.008824594,421
420,23.0,0.008909359,431
430,23.0,0.009155688,441
440,24.0,0.009240453,451
450,24.0,0.009317253,461
460,24.0,0.009391777,471
470,24.0,0.009472559,481
480,24.0,0.00955391,491
490,24.0,0.009636399,501
500,24.0,0.009713767,511
510,24.0,0.009854282,521
520,24.0,0.009929376,531
530,24.0,0.010046567,541
540,24.0,0.010135313,551
550,25.0,0.010206424,561
560,25.0,0.010289482,571
570,25.0,0.010363437,581
580,25.0,0.01043853,591
590,25.0,0.010513624,601
600,25.0,0.010668931,611
610,25.0,0.010783847,621
620,25.0,0.010845855,631
630,25.0,0.010920948,641
640,25.0,0.01098125,651
650,25.0,0.011039277,661
660,25.0,0.011118921,671
670,28.0,0.011204255,681
680,28.0,0.011274797,691
690,28.0,0.011335099,701
700,28.0,0.011397676,711
710,30.0,0.011462529,721
720,30.0,0.011521125,731
730,30.0,0.011578583,741
740,30.0,0.011644005,751
750,30.0,0.011725356,761
760,30.0,0.011793623,771
770,32.0,0.011867579,781
780,32.0,0.011936983,791
790,32.0,0.011995009,801
800,32.0,0.012053604,811
810,32.0,0.012136662,821
820,33.0,0.012218582,831
830,34.0,0.012283435,841
840,34.0,0.012336911,851
850,34.0,0.012392662,861
860,34.0,0.012442155,871
870,34.0,0.012501319,881
880,34.0,0.012552519,891
890,40.0,0.01261339,901
900,40.0,0.01266971,911
910,40.0,0.012738546,921
920,40.0,0.012834688,931
930,40.0,0.012943346,941
940,40.0,0.012995115,951
950,40.0,0.013128235,961
960,40.0,0.013215274,971
970,40.0,0.013275008,981
980,40.0,0.013323932,991
990,40.0,0.013380252,1001
1000,40.0,0.013456483,1011
1010,40.0,0.013528163,1021
1020,40.0,0.01359131,1031
1030,40.0,0.013645923,1041
1040,40.0,0.013698261,1051
1050,40.0,0.013755719,1061
1060,40.0,0.013807487,1071
1070,40.0,0.013906473,1081
1080,40.0,0.013958242,1091
1090,40.0,0.014006598,1101
1100,40.0,0.014093069,1111
1110,41.0,0.014140855,1121
1120,41.0,0.014193193,1131
1130,41.0,0.014236429,1141
1140,41.0,0.014285923,1151
1150,41.0,0.014387754,1161
1160,43.0,0.01444123,1171
1170,43.0,0.014504945,1181
1180,43.0,0.014579469,1191
1190,43.0,0.014667647,1201
1200,43.0,0.014718278,1211
1210,45.0,0.014765495,1221
1220,45.0,0.014835469,1231
1230,45.0,0.014886101,1241
1240,45.0,0.014979399,1251
1250,46.0,0.015082367,1261
1260,46.0,0.015138118,1271
1270,51.0,0.015253033,1281
1280,51.0,0.015311629,1291
1290,51.0,0.015380464,1301
1300,51.0,0.015418579,1311
1310,51.0,0.015482863,1321
1320,51.0,0.015529512,1331
1330,51.0,0.015579574,1341
1340,51.0,0.015627929,1351
1350,51.0,0.015677422,1361
1360,52.0,0.015718382,1371
1370,52.0,0.015770719,1381
1380,52.0,0.015817937,1391
1390,52.0,0.015866293,1401
1400,53.0,0.015911804,1411
1410,53.0,0.015964711,1421
1420,53.0,0.016013067,1431
1430,53.0,0.016069387,1441
1440,53.0,0.01612912,1451
1450,53.0,0.016176337,1461
1460,54.0,0.016228105,1471
1470,55.0,0.016274185,1481
1480,55.0,0.016320265,1491
1490,55.0,0.016362363,1501
1500,55.0,0.01639934,1511
1510,55.0,0.016448833,1521
1520,55.0,0.016489224,1531
1530,55.0,0.016530753,1541
1540,55.0,0.016595606,1551
1550,55.0,0.016641117,1561
1560,55.0,0.016693455,1571
1570,55.0,0.01673214,1581
1580,55.0,0.016780496,1591
1590,55.0,0.016832834,1601
1600,55.0,0.01688119,1611
1610,55.0,0.016931821,1621
1620,55.0,0.016993261,1631
1630,55.0,0.017038772,1641
1640,55.0,0.017085989,1651
1650,55.0,0.017136051,1661
1660,55.0,0.01721854,1671
1670,55.0,0.01732606,1681
1680,55.0,0.017388069,1691
1690,55.0,0.017445527,1701
1700,55.0,0.01751607,1711
1710,55.0,0.017556461,1721
1720,55.0,0.017605386,1731
1730,55.0,0.017647484,1741
1740,55.0,0.017713475,1751
1750,55.0,0.017752728,1761
1760,55.0,0.017793119,1771
1770,55.0,0.017835786,1781
1780,55.0,0.0178904,1791
1790,56.0,0.017939324,1801
1800,56.0,0.017989386,1811
1810,56.0,0.018030346,1821
1820,56.0,0.018078133,1831
1830,57.0,0.018161759,1841
1840,65.0,0.018210114,1851
1850,65.0,0.018255625,1861
1860,65.0,0.018294878,1871
1870,67.0,0.018343233,1881
1880,69.0,0.018409793,1891
1890,69.0,0.018447908,1901
1900,69.0,0.01849797,1911
1910,69.0,0.018557703,1921
1920,69.0,0.018626539,1931
1930,69.0,0.018678877,1941
1940,69.0,0.018720975,1951
1950,69.0,0.018768193,1961
1960,69.0,0.018817686,1971
1970,69.0,0.018858646,1981
1980,69.0,0.018899037,1991
1990,69.0,0.018952513,2001
2000,69.0,0.01900485,2011
2010,69.0,0.019056619,2021
2020,69.0,0.01911237,2031
2030,69.0,0.019161863,2041
2040,69.0,0.019254592,2051
2050,69.0,0.019334806,2061
2060,69.0,0.019383161,2071
2070,69.0,0.019430379,2081
2080,69.0,0.019473046,2091
2090,69.0,0.019510593,2101
2100,70.0,0.019575446,2111
2110,70.0,0.019618113,2121
2120,70.0,0.019656797,2131
2130,70.0,0.019702877,2141
2140,70.0,0.019768868,2151
2150,70.0,0.019816085,2161
2160,70.0,0.019866147,2171
2170,70.0,0.019915072,2181
2180,70.0,0.019958307,2191
2190,70.0,0.020022592,2201
2200,70.0,0.020076067,2211
2210,70.0,0.02012044,2221
2220,70.0,0.020163675,2231
2230,70.0,0.020198947,2241
2240,70.0,0.020235925,2251
2250,70.0,0.020271765,2261
2260,71.0,0.020321827,2271
2270,71.0,0.02038156,2281
2280,71.0,0.020416263,2291
2290,72.0,0.020452672,2301
2300,72.0,0.020501027,2311
2310,72.0,0.020539142,2321
2320,72.0,0.020581808,2331
2330,72.0,0.020617648,2341
2340,72.0,0.020660315,2351
2350,72.0,0.020700706,2361
2360,72.0,0.020735977,2371
2370,72.0,0.02079059,2381
2380,72.0,0.020875923,2391
2390,72.0,0.020930536,2401
2400,72.0,0.02097434,2411
2410,72.0,0.021014731,2421
2420,73.0,0.021080153,2431
2430,73.0,0.021133628,2441
2440,73.0,0.02116833,2451
2450,73.0,0.021215548,2461
2460,73.0,0.021272437,2471
2470,73.0,0.021319655,2481
2480,73.0,0.021365166,2491
2490,73.0,0.021419211,2501
2500,74.0,0.021465291,2511
2510,74.0,0.021549486,2521
2520,74.0,0.021604099,2531
2530,74.0,0.02164961,2541
2540,74.0,0.02169569,2551
2550,74.0,0.021754285,2561
2560,74.0,0.021802071,2571
2570,74.0,0.021840755,2581
2580,74.0,0.021891386,2591
2590,74.0,0.021939173,2601
2600,75.0,0.021994355,2611
2610,75.0,0.022041573,2621
2620,75.0,0.022088791,2631
2630,75.0,0.0221252,2641
2640,75.0,0.022180383,2651
2650,75.0,0.022232721,2661
2660,75.0,0.022269129,2671
2670,75.0,0.02231464,2681
2680,75.0,0.022353893,2691
2690,75.0,0.022400542,2701
2700,75.0,0.022477911,2711
2710,76.0,0.02264175,2721
2720,76.0,0.022702052,2731
2730,76.0,0.022735048,2741
2740,76.0,0.022778283,2751
2750,76.0,0.022817536,2761
2760,76.0,0.022854513,2771
2770,76.0,0.022893767,2781
2780,76.0,0.022929038,2791
2790,76.0,0.022968291,2801
2800,76.0,0.02300982,2811
2810,76.0,0.023049642,2821
2820,76.0,0.023113357,2831
2830,76.0,0.023146353,2841
2840,77.0,0.023190726,2851
2850,77.0,0.023223722,2861
2860,77.0,0.02326582,2871
2870,77.0,0.023394388,2881
2880,77.0,0.023437623,2891
2890,77.0,0.023478583,2901
2900,77.0,0.02353661,2911
2910,77.0,0.023571881,2921
2920,77.0,0.023609996,2931
2930,77.0,0.023671436,2941
2940,78.0,0.023707845,2951
2950,78.0,0.023762458,2961
2960,82.0,0.023801712,2971
2970,82.0,0.023842671,2981
2980,82.0,0.023883062,2991
2990,87.0,0.023919471,3001
3000,87.0,0.024085586,3011
3010,87.0,0.024122563,3021
3020,87.0,0.024164092,3031
3030,87.0,0.024210741,3041
3040,87.0,0.024252838,3051
3050,87.0,0.024293229,3061
3060,87.0,0.024333051,3071
3070,87.0,0.024385389,3081
3080,87.0,0.024424074,3091
3090,88.0,0.024465602,3101
3100,88.0,0.024503718,3111
3110,88.0,0.024544677,3121
3120,88.0,0.024582793,3131
3130,88.0,0.024679504,3141
3140,88.0,0.024721602,3151
3150,88.0,0.024848464,3161
3160,88.0,0.024896819,3171
3170,88.0,0.024946881,3181
3180,89.0,0.024990685,3191
3190,89.0,0.025030508,3201
3200,89.0,0.025107877,3211
3210,89.0,0.025184108,3221
3220,89.0,0.025224499,3231
3230,89.0,0.025271717,3241
3240,89.0,0.025310401,3251
3250,89.0,0.025350223,3261
3260,89.0,0.025425317,3271
3270,89.0,0.025473673,3281
3280,89.0,0.025512357,3291
3290,89.0,0.025551042,3301
3300,89.0,0.025595415,3311
3310,89.0,0.025650029,3321
3320,89.0,0.025751291,3331
3330,89.0,0.025798509,3341
3340,89.0,0.025846296,3351
3350,89.0,0.025907167,3361
3360,89.0,0.025946989,3371
3370,89.0,0.025983967,3381
3380,89.0,0.026016393,3391
3390,89.0,0.026053939,3401
3400,89.0,0.026089779,3411
3410,90.0,0.026122205,3421
3420,90.0,0.026168285,3431
3430,90.0,0.026202987,3441
3440,90.0,0.026266134,3451
3450,90.0,0.026311076,3461
3460,90.0,0.026349761,3471
3470,90.0,0.026390721,3481
3480,91.0,0.026466383,3491
3490,91.0,0.026530668,3501
3500,91.0,0.026560251,3511
3510,91.0,0.026613157,3521
3520,91.0,0.026650703,3531
3530,91.0,0.026690525,3541
3540,91.0,0.026729778,3551
3550,91.0,0.026761067,3561
3560,91.0,0.026816249,3571
3570,91.0,0.026853227,3581
3580,91.0,0.026886222,3591
3590,91.0,0.026926044,3601
3600,91.0,0.026965866,3611
3610,91.0,0.027011377,3621
3620,91.0,0.027051768,3631
3630,91.0,0.027090452,3641
3640,91.0,0.027125723,3651
3650,91.0,0.027166115,3661
3660,91.0,0.027204799,3671
3670,91.0,0.027242915,3681
3680,91.0,0.027282737,3691
3690,91.0,0.02732199,3701
3700,91.0,0.027360674,3711
3710,92.0,0.027400496,3721
3720,92.0,0.027436335,3731
3730,92.0,0.027471037,3741
3740,92.0,0.027501188,3751
3750,92.0,0.027577988,3761
3760,92.0,0.02763317,3771
3770,92.0,0.027662752,3781
3780,92.0,0.027701436,3791
3790,92.0,0.0277606,3801
3800,92.0,0.027808387,3811
3810,92.0,0.027844227,3821
3820,92.0,0.02788405,3831
3830,92.0,0.027931268,3841
3840,92.0,0.027970522,3851
3850,92.0,0.028008638,3861
3860,92.0,0.028075767,3871
3870,92.0,0.028116158,3881
3880,92.0,0.028157687,3891
3890,93.0,0.028198078,3901
3900,93.0,0.028245864,3911
3910,93.0,0.028287962,3921
3920,93.0,0.028326646,3931
3930,93.0,0.028363624,3941
3940,93.0,0.028419944,3951
3950,93.0,0.028464886,3961
3960,93.0,0.028520637,3971
3970,93.0,0.028553064,3981
3980,93.0,0.028614504,3991
3990,93.0,0.028644086,4001
4000,93.0,0.028671962,4011
4010,93.0,0.028710647,4021
4020,93.0,0.028753883,4031
4030,93.0,0.028790292,4041
4040,93.0,0.028828407,4051
4050,93.0,0.028864815,4061
4060,93.0,0.028901224,4071
4070,93.0,0.028942184,4081
4080,93.0,0.029002486,4091
