iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.92272375611,1.92429783156,1.92299351945,3.63404255319,3.59877488515,3.63506771205,1.268070872
100,1.37327097343,1.38064705214,1.37740599827,5.02978723404,4.74732006126,5.04276550249,134.550729169
300,1.38966706204,1.40511837597,1.39474148788,4.93617021277,4.90045941807,4.52601568068,404.481984726
500,1.35357675253,1.3590370677,1.35823768963,4.97872340426,4.74732006126,4.56165359943,657.486494871
1000,1.39714961509,1.40256881652,1.40189263864,5.12340425532,4.97702909648,5.06058446187,1210.72505354
1500,1.38391943097,1.38398636398,1.38396287836,3.57446808511,4.2113323124,3.84889522452,1689.42541792
2000,1.38119433303,1.38253021275,1.38394735491,4.83404255319,4.51761102603,4.54383464006,2160.17005657
2500,1.38275270322,1.38855208855,1.38432562281,4.17021276596,4.05819295559,3.88453314326,2679.95677644
3000,1.35835682864,1.35686269714,1.36197526309,3.40425531915,2.90964777948,2.90449037776,3110.07906804
3500,1.40064653762,1.40454095064,1.39861488531,4.27234042553,3.75191424196,4.06272273699,3572.3056886
4000,1.42056717507,1.42054845858,1.42040601507,2.83404255319,2.83307810107,3.06486101212,4010.21571326
4500,1.33162029895,1.32944440875,1.33037118617,3.29361702128,3.1393568147,3.33214540271,4416.87899125
5000,1.39794217084,1.38888288902,1.39376635351,3.05531914894,3.82848392037,3.33214540271,4820.75123947
5500,1.48155551792,1.46861543902,1.47625148394,2.98723404255,3.36906584992,3.26086956522,5228.01407771
6000,1.49629995618,1.48290377053,1.49658348285,3.52340425532,3.82848392037,3.97362794013,5635.81030996
