iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.7575661954,1.77040730667,4.20496323529,3.61724875267,4.21131461501
500,1.51864950238,1.51553863212,4.88664215686,4.93585174626,1980.65785649
1000,1.55861642331,1.56063550584,4.31985294118,4.22309337135,3994.57197488
1500,1.71305306862,1.71915731577,2.78799019608,2.77975766215,6014.1370332
2000,1.65002909894,1.64866085149,2.75735294118,2.97576621525,8017.51497571
2500,1.59392272939,1.59632148251,4.40410539216,4.33000712758,10011.9519779
3000,1.67900173946,1.68088546564,4.18198529412,4.02708481825,12012.3010374
3500,1.67616873405,1.67438190468,4.36580882353,4.45473984319,14104.8848912
4000,1.65583663408,1.65581690978,6.97763480392,7.12758374911,16319.4094515
4500,1.70093783596,1.70223925358,5.06280637255,5.06058446187,18515.4252461
5000,1.70902005357,1.71146112801,3.46966911765,3.2074126871,20709.1274651
5500,1.69073785711,1.68640730473,6.20404411765,6.34354953671,22834.9359449
6000,1.71372378296,1.70989341189,5.44577205882,5.32786885246,24605.8277595
