iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.77253694019,1.77435422782,1.77185518348,3.34468085106,3.44563552833,3.29650748396,0.082442122
100,1.47917288129,1.46037042256,1.48662888753,5.28510638298,6.04900459418,4.98930862438,8.962358379
300,1.32957628844,1.32184265641,1.33140009293,6.45106382979,6.89127105666,6.09408410549,27.065699176
500,1.27240726416,1.26365360557,1.2725371412,7.17446808511,7.58039816233,6.8068424804,44.994369722
1000,1.20113064143,1.19592637345,1.20834246453,7.30212765957,7.19754977029,6.66429080542,89.97903705
1500,1.15023777789,1.14540382972,1.15538011994,8.97872340426,9.11179173047,8.41054882395,133.17719159
2000,1.13075513623,1.12279252063,1.13395486671,10.314893617,11.3323124043,9.64005702067,175.617843195
2500,1.11658899011,1.11227990213,1.12193778687,10.6723404255,10.7963246554,10.0677120456,216.109749897
3000,1.09042921612,1.08620286157,1.0991006952,12.570212766,12.787136294,11.4397719173,255.634090595
3500,1.23210115974,1.23588740635,1.23984988908,9.85531914894,9.3415007657,9.15894511761,295.154155563
4000,1.05289365742,1.05548359376,1.05789176796,14.714893617,13.3996937213,14.005702067,335.889532731
4500,1.03983118181,1.04796002314,1.04388866925,15.8553191489,14.0122511485,15.1639344262,375.905083858
5000,1.02263695438,1.03263253556,1.02640067359,17.3106382979,14.854517611,16.7141838917,419.160241537
5500,1.008327842,1.02586444738,1.01215244746,18.1021276596,16.539050536,17.6585887384,461.68225722
6000,0.996966375589,1.01248110501,0.999275824793,19.3276595745,17.3047473201,18.9237348539,505.147891547
