iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.89171158049,1.8953298419,1.89330654283,3.84680851064,3.82848392037,3.84889522452,0.101308158
100,1.70244268864,1.69862074187,1.70618447375,4.73191489362,4.97702909648,4.73984319316,11.925728824
300,1.395103217,1.39563500829,1.39060624111,6.0170212766,6.50842266462,6.34354953671,36.743934944
500,1.36233542195,1.35808217408,1.35527952474,8.25531914894,8.03981623277,8.82038488952,61.040277272
1000,1.21507870254,1.20684311845,1.20846228072,11.1744680851,11.7151607963,12.4198146828,119.581936105
1500,1.17021191352,1.16494947899,1.16421918451,12.9957446809,12.787136294,13.7562366358,174.600431808
2000,1.12808439136,1.12678331757,1.12526176314,14.8,14.7779479326,15.3955808981,228.480594974
2500,1.09143680743,1.0894535217,1.08689801624,15.8808510638,15.5436447167,16.6429080542,280.934261611
3000,1.07694736538,1.07629244398,1.07149194131,17.3361702128,16.6921898928,17.8724162509,325.758670311
3500,1.05924107031,1.05904335916,1.05416808685,17.2680851064,16.6921898928,18.0862437634,372.365554992
4000,1.04065300593,1.0411005179,1.03767203427,18.1531914894,17.8407350689,18.4426229508,418.726153236
4500,1.03900073895,1.04408701036,1.03693006984,18.485106383,17.9938744257,18.7277263008,464.074156872
5000,1.01393539251,1.01443409227,1.01308823988,19.4808510638,18.9127105666,19.6364932288,510.690784903
5500,1.02179728554,1.0195391335,1.01966524873,18.9446808511,18.3001531394,19.1553813257,556.821649073
6000,0.993120603921,0.993855772177,0.991566886034,20.5872340426,19.6784073507,20.9194583036,603.081412486
6500,1.098454776,1.10233088677,1.09872099198,18.8,18.5298621746,18.9415538133,648.875057435
7000,0.963989152866,0.962033775318,0.9659432248,23.5829787234,22.6646248086,23.8417676408,694.790076354
7500,0.965708785259,0.960756634137,0.967379280536,23.7446808511,24.1194486983,23.6101211689,740.59020151
8000,0.945062527927,0.941132188746,0.948534110129,24.9276595745,24.8851454824,24.7327156094,785.59890947
8500,0.935425067932,0.928931660241,0.940579091662,25.7106382979,26.0336906585,25.6058446187,828.081177514
9000,0.933378896732,0.933384223719,0.939617262235,25.7787234043,25.1148545176,25.5345687812,871.610088692
9500,0.917302559865,0.917097608773,0.922873965451,27.5744680851,27.3353751914,27.1739130435,918.226166024
10000,0.90927774433,0.907692526903,0.915072141359,28.1787234043,28.6370597243,27.387740556,964.31363142
10500,0.899303598564,0.897496535882,0.906935686194,28.8680851064,28.7901990812,28.0826799715,1011.1766665
11000,0.890108407407,0.88858427944,0.895764977473,29.8212765957,29.1730474732,29.1518175339,1055.08556647
11500,0.881491202363,0.882010277063,0.888715823376,30.4,30.0153139357,29.8111190306,1100.4270956
12000,0.873338521445,0.872772582954,0.882517677667,31.2765957447,30.8575803982,30.4882394868,1145.621826
12500,0.863306537933,0.862904711581,0.872445489961,31.9234042553,31.2404287902,31.2900926586,1189.74362379
13000,0.856968485449,0.859142380759,0.865042305747,32.4170212766,32.2358346095,32.0563079116,1235.25969403
13500,0.973826303894,0.971300409285,0.979501900427,27.1319148936,26.6462480858,26.5858873842,1281.09337163
14000,0.832619396742,0.838392011776,0.841535911721,33.8723404255,32.6952526799,33.2501781896,1326.6177226
14500,0.828000917978,0.834415949406,0.837712433885,34.3063829787,32.8483920368,33.3570919458,1373.00609964
15000,0.811851445394,0.820231059705,0.818391760823,35.7191489362,34.0735068913,35.0677120456,1420.99920869
15500,0.80290576431,0.81174590495,0.81015455499,36.6212765957,35.0689127106,35.994297933,1468.39904995
16000,0.80255433377,0.815247865178,0.811037113518,37.0382978723,35.6814701378,35.9052031361,1514.69522388
16500,0.791100484934,0.801090389602,0.798028103082,37.6255319149,35.3751914242,36.7070563079,1561.57196858
17000,0.7899519105,0.802461223269,0.796209746846,38.3489361702,36.6003062787,37.7227369922,1607.49153805
17500,0.769870340837,0.780764875521,0.776334886378,39.5574468085,37.6722817764,38.6136849608,1653.16078025
18000,0.771036184597,0.781422348638,0.77588224116,39.9659574468,38.1316998469,38.7740555952,1697.5427408
18500,0.843307559795,0.850926563236,0.845190063996,36.229787234,35.7580398162,36.3863150392,1743.30243506
19000,0.751722939349,0.763117558125,0.759262041582,41.4978723404,39.663093415,40.2530292231,1789.29659997
19500,0.746386216665,0.755978468129,0.754421243852,41.7957446809,39.9693721286,40.3955808981,1835.409935
20000,0.744299514893,0.752635299781,0.751659121481,41.9659574468,40.8882082695,40.6985032074,1879.95421296
