iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.56336288741,1.56083316284,4.02879901961,4.33000712758,0.0618643030002
100,1.61139037931,1.60781289154,3.52328431373,3.74198146828,6.95940414
300,1.72490217441,1.72532213775,2.29779411765,2.54811119031,20.913767373
500,1.5563673361,1.55437368469,5.26960784314,5.38132573058,34.507140969
1000,1.34920938371,1.34692449099,6.84742647059,6.87811831789,69.142400647
1500,1.27878099872,1.2715279056,10.0643382353,10.6200997862,103.723903817
2000,1.22924067779,1.22338478507,10.9987745098,10.994297933,138.852357616
2500,1.17179077665,1.17173065665,13.3731617647,13.1860299359,173.289442291
3000,1.14945250941,1.14652765935,14.3612132353,14.3264433357,207.728898651
3500,1.12882115666,1.12873808995,15.4181985294,15.0392017106,244.201060399
4000,1.1211351103,1.11856029927,15.4871323529,15.4312188168,281.389573984
4500,1.08829854125,1.08806274466,17.6470588235,17.4803991447,316.490741628
5000,1.06641108762,1.06586563728,19.1482843137,18.9059158945,351.162403329
5500,1.04668718079,1.04944277157,20.4273897059,19.9037776194,385.957246357
6000,1.03834028811,1.03981377505,21.0631127451,20.5096222381,420.513174592
