iterations,fitness,time,fevals
0,475.0,8.959203329,1000
10,523.0,17.197109479,2100
20,568.0,24.017377823,3200
30,610.0,30.368819812,4300
40,618.0,35.881038106,5400
50,624.0,41.018525839,6500
60,625.0,46.482076327,7600
70,630.0,52.142995707,8700
80,628.0,57.445615722,9800
90,626.0,62.590419356,10900
100,632.0,67.788078951,12000
110,632.0,73.123821904,13100
120,632.0,78.626948229,14200
130,634.0,83.794035778,15300
140,634.0,88.954537309,16400
150,636.0,94.229533824,17500
160,646.0,99.602111143,18600
170,646.0,104.686181993,19700
180,646.0,109.878788724,20800
190,646.0,115.172839577,21900
200,646.0,120.434800022,23000
210,648.0,125.912157992,24100
220,648.0,130.920389233,25200
230,648.0,136.345502228,26300
240,650.0,141.453019799,27400
250,648.0,146.474725155,28500
260,648.0,151.546641711,29600
270,650.0,156.97473568,30700
280,650.0,162.360172145,31800
290,652.0,167.568282214,32900
300,652.0,172.641919087,34000
310,652.0,178.012745369,35100
320,656.0,183.082721447,36200
330,654.0,188.18870871,37300
340,652.0,193.302088104,38400
350,652.0,198.479419052,39500
360,652.0,203.606150819,40600
370,652.0,208.620982869,41700
380,652.0,213.811596785,42800
390,654.0,219.234123615,43900
400,654.0,224.277272638,45000
410,654.0,229.548264182,46100
420,656.0,234.616140494,47200
430,654.0,239.860273693,48300
440,656.0,244.923338919,49400
450,658.0,249.85671928,50500
460,658.0,254.97083766,51600
470,658.0,260.049943255,52700
480,658.0,265.322937285,53800
490,658.0,270.222290744,54900
500,658.0,275.214101031,56000
510,660.0,280.362059718,57100
520,662.0,285.730290732,58200
530,660.0,290.703956903,59300
540,660.0,295.828496743,60400
550,660.0,301.846050353,61500
560,660.0,307.783180256,62600
570,662.0,314.396288575,63700
580,660.0,320.528618769,64800
590,660.0,326.293497326,65900
600,660.0,332.257464524,67000
610,660.0,337.814541918,68100
620,660.0,343.228703249,69200
630,660.0,348.515706147,70300
640,662.0,353.957045537,71400
650,660.0,359.552211695,72500
660,662.0,365.006948968,73600
670,662.0,370.14315329,74700
680,662.0,375.275532408,75800
690,660.0,380.628417097,76900
700,662.0,385.94453455,78000
710,662.0,391.351596727,79100
720,662.0,396.70416739,80200
730,662.0,402.55273621,81300
740,662.0,408.559290369,82400
750,662.0,414.039344869,83500
760,662.0,419.1520763,84600
770,662.0,424.463658008,85700
780,662.0,429.754772829,86800
790,664.0,435.067910446,87900
800,664.0,440.754027586,89000
810,664.0,446.057111243,90100
820,664.0,451.916521363,91200
830,668.0,457.684561231,92300
840,666.0,463.004366785,93400
850,666.0,469.173423256,94500
860,666.0,474.514597384,95600
870,666.0,479.637252499,96700
880,666.0,484.919556382,97800
890,664.0,490.109914298,98900
900,666.0,495.85316373,100000
910,666.0,501.751978452,101100
920,666.0,507.843938641,102200
930,666.0,513.421418069,103300
940,666.0,519.131938232,104400
950,668.0,525.114791945,105500
960,668.0,530.678991249,106600
970,668.0,536.296386709,107700
980,670.0,541.694191939,108800
990,670.0,547.154061152,109900
1000,668.0,552.555743923,111000
1010,668.0,557.836865088,112100
1020,668.0,563.135944342,113200
1030,668.0,568.260601942,114300
1040,670.0,573.574604268,115400
1050,670.0,578.995988771,116500
1060,670.0,584.2271115,117600
1070,670.0,589.548659558,118700
1080,668.0,595.087340819,119800
1090,672.0,600.288761333,120900
1100,672.0,605.75825727,122000
1110,674.0,611.261695345,123100
1120,672.0,616.466203214,124200
1130,672.0,621.904285151,125300
1140,674.0,627.04696285,126400
1150,674.0,632.31913313,127500
1160,674.0,637.678822858,128600
1170,672.0,642.920343154,129700
1180,672.0,648.281653076,130800
1190,674.0,653.864185367,131900
1200,674.0,659.341885239,133000
1210,674.0,664.518092064,134100
1220,674.0,669.695537358,135200
1230,674.0,674.914933028,136300
1240,676.0,680.277873383,137400
1250,676.0,685.664058505,138500
1260,676.0,691.097628022,139600
1270,674.0,696.434032024,140700
1280,676.0,701.904679391,141800
1290,676.0,707.155685896,142900
1300,676.0,712.576181795,144000
1310,676.0,717.943663583,145100
1320,678.0,723.595427847,146200
1330,676.0,728.715768156,147300
1340,678.0,733.869230267,148400
1350,678.0,738.922416751,149500
1360,678.0,744.376825206,150600
1370,678.0,749.407061607,151700
1380,678.0,754.376033882,152800
1390,678.0,759.428421648,153900
1400,676.0,764.439704974,155000
1410,678.0,769.751423215,156100
1420,680.0,774.72282578,157200
1430,676.0,779.875350932,158300
1440,676.0,784.961265547,159400
1450,678.0,790.144768931,160500
1460,678.0,795.087829492,161600
1470,676.0,800.059493177,162700
1480,678.0,805.164670911,163800
1490,678.0,810.389288974,164900
1500,678.0,815.404670001,166000
1510,676.0,820.501931658,167100
1520,678.0,825.674314418,168200
1530,678.0,831.355089698,169300
1540,678.0,836.476232139,170400
1550,680.0,841.668939562,171500
1560,680.0,846.943802389,172600
1570,680.0,852.972239966,173700
1580,682.0,858.497701975,174800
1590,680.0,864.103992739,175900
1600,682.0,869.353554838,177000
1610,682.0,874.61938998,178100
1620,682.0,880.058904377,179200
1630,682.0,885.27196434,180300
1640,682.0,890.414869594,181400
1650,682.0,895.54573035,182500
1660,682.0,900.915265824,183600
1670,682.0,906.15130147,184700
1680,682.0,911.314816971,185800
1690,684.0,916.620737105,186900
1700,682.0,922.108802118,188000
1710,682.0,927.21622753,189100
1720,680.0,932.386700532,190200
1730,682.0,937.50206307,191300
1740,682.0,942.774481953,192400
1750,680.0,948.407054778,193500
1760,682.0,953.73186541,194600
1770,680.0,958.7749547,195700
1780,682.0,963.88809573,196800
1790,682.0,969.373988159,197900
1800,680.0,974.703475619,199000
1810,680.0,979.930749251,200100
1820,682.0,985.185287982,201200
1830,682.0,990.528567565,202300
1840,682.0,995.8259942,203400
1850,682.0,1001.21544986,204500
1860,682.0,1006.43021535,205600
1870,684.0,1011.87254005,206700
1880,686.0,1017.3474427,207800
1890,684.0,1022.42821286,208900
1900,684.0,1027.7366435,210000
1910,684.0,1033.08368116,211100
1920,683.0,1038.51113172,212200
1930,684.0,1043.9009361,213300
1940,682.0,1049.12787807,214400
1950,684.0,1054.47692334,215500
1960,684.0,1059.8025361,216600
1970,682.0,1065.05731206,217700
1980,686.0,1070.47546869,218800
1990,684.0,1076.0030902,219900
2000,684.0,1081.32290372,221000
2010,684.0,1086.41671336,222100
2020,686.0,1091.51540407,223200
2030,684.0,1096.67049775,224300
2040,684.0,1102.25536703,225400
2050,684.0,1107.54049488,226500
2060,684.0,1112.7658889,227600
2070,682.0,1118.07489013,228700
2080,684.0,1123.56990354,229800
2090,684.0,1129.05088078,230900
2100,684.0,1134.40480142,232000
2110,684.0,1139.78019701,233100
2120,684.0,1145.25629375,234200
2130,682.0,1150.64008556,235300
2140,684.0,1156.07605977,236400
2150,684.0,1161.29905081,237500
2160,682.0,1166.59762432,238600
2170,682.0,1171.69063639,239700
2180,684.0,1176.93572247,240800
2190,684.0,1182.17266436,241900
2200,684.0,1187.86993057,243000
2210,684.0,1193.19808569,244100
2220,684.0,1198.50445866,245200
2230,684.0,1203.9452377,246300
2240,684.0,1209.46331497,247400
2250,684.0,1214.70673706,248500
2260,684.0,1220.19441295,249600
2270,684.0,1225.50955021,250700
2280,684.0,1231.08849168,251800
2290,682.0,1236.6072994,252900
2300,684.0,1241.9674761,254000
2310,684.0,1247.05472248,255100
2320,682.0,1252.30789361,256200
2330,684.0,1257.70476415,257300
2340,684.0,1263.02520573,258400
2350,684.0,1268.36180258,259500
2360,684.0,1273.65453816,260600
2370,686.0,1279.26595518,261700
2380,686.0,1284.55924031,262800
2390,686.0,1289.88309919,263900
2400,686.0,1295.08140504,265000
2410,686.0,1300.62901215,266100
2420,686.0,1305.96211205,267200
2430,686.0,1311.39498525,268300
2440,684.0,1317.13293322,269400
2450,686.0,1322.90470897,270500
2460,686.0,1328.25890665,271600
2470,686.0,1333.48097212,272700
2480,686.0,1338.65621069,273800
2490,688.0,1344.2360072,274900
2500,686.0,1349.52268697,276000
2510,686.0,1354.6568433,277100
2520,686.0,1359.95981659,278200
2530,686.0,1365.45424974,279300
2540,686.0,1370.83809559,280400
2550,684.0,1375.84485341,281500
2560,686.0,1381.09946269,282600
2570,686.0,1386.48488322,283700
2580,684.0,1391.85583978,284800
2590,686.0,1397.41918632,285900
2600,686.0,1402.74738923,287000
2610,686.0,1408.09326806,288100
2620,684.0,1413.38683081,289200
2630,686.0,1418.71478967,290300
2640,686.0,1424.19545174,291400
2650,684.0,1429.59993685,292500
2660,686.0,1434.7378302,293600
2670,684.0,1440.21591749,294700
2680,686.0,1445.49902407,295800
2690,688.0,1450.51502974,296900
2700,686.0,1455.76834707,298000
2710,686.0,1461.26772556,299100
2720,688.0,1466.57803352,300200
2730,684.0,1471.67056545,301300
2740,686.0,1477.30691057,302400
2750,686.0,1483.74491514,303500
2760,686.0,1489.02332839,304600
2770,686.0,1494.04613682,305700
2780,684.0,1499.27133458,306800
2790,686.0,1504.54815438,307900
2800,686.0,1509.92838211,309000
2810,688.0,1515.47070482,310100
2820,686.0,1520.55054428,311200
2830,686.0,1525.90360077,312300
2840,686.0,1531.08159391,313400
