iterations,fitness,time,fevals
0,541.0,0.00721577599984,803
10,534.0,0.0204287709998,1490
20,544.0,0.0268850809998,2189
30,553.0,0.0340195059998,2889
40,553.0,0.0391110539997,3583
50,549.0,0.0451930369998,4286
60,549.0,0.0502066479996,4994
70,563.0,0.0556309959995,5688
80,553.0,0.0634896159995,6393
90,546.0,0.0685800269996,7102
100,547.0,0.0737580469997,7799
110,545.0,0.0788894179998,8500
120,551.0,0.0833466559998,9183
130,557.0,0.0887510929997,9892
140,559.0,0.0933403129998,10589
150,557.0,0.098323772,11275
160,553.0,0.104984314,11973
170,551.0,0.110870599,12672
180,555.0,0.115516139,13376
190,555.0,0.122671045,14073
200,555.0,0.128041348,14757
210,555.0,0.13579643,15441
220,563.0,0.140126806,16132
230,565.0,0.144350232,16812
240,559.0,0.149004306,17514
250,563.0,0.156101753,18215
260,555.0,0.160761515,18917
270,557.0,0.165801294,19618
280,555.0,0.17009583,20317
290,563.0,0.174878472,21020
300,559.0,0.179379515,21709
310,565.0,0.193923708,22418
320,561.0,0.198503257,23129
330,561.0,0.203756369,23827
340,564.0,0.208148185,24532
350,559.0,0.212592908,25230
360,555.0,0.21749331,25923
370,557.0,0.251972478,26600
380,557.0,0.257265413,27281
390,555.0,0.26199458,27996
400,553.0,0.266483107,28708
410,559.0,0.27195581,29403
420,553.0,0.286379967,30111
430,553.0,0.296553962,30816
440,559.0,0.30134912,31502
450,559.0,0.305659016,32196
460,553.0,0.310200449,32883
470,555.0,0.314788531,33583
480,559.0,0.319494942,34277
490,559.0,0.324834526,34970
500,555.0,0.346206514,35646
510,557.0,0.350995983,36339
520,555.0,0.355776918,37038
530,557.0,0.36048788,37747
540,555.0,0.365840548,38433
550,555.0,0.371646051,39126
560,553.0,0.377427091,39822
570,558.0,0.381849627,40520
580,559.0,0.38897495,41223
590,561.0,0.394068774,41917
600,563.0,0.398990794,42638
610,562.0,0.403613578,43340
620,566.0,0.408318283,44034
630,555.0,0.425106739,44732
640,559.0,0.429369986,45440
650,557.0,0.433488735,46124
660,557.0,0.438397102,46800
670,559.0,0.443154713,47495
680,559.0,0.448409532,48203
690,561.0,0.453546022,48887
700,563.0,0.458143776,49590
710,569.0,0.462748356,50282
720,563.0,0.4676681,50967
730,565.0,0.472378494,51682
740,563.0,0.478921275,52376
750,567.0,0.483748859,53073
760,563.0,0.488319875,53773
770,565.0,0.494050285,54473
780,565.0,0.498592856,55175
790,563.0,0.50409059,55889
800,559.0,0.508566601,56585
810,561.0,0.514377792,57282
820,558.0,0.51854888,57985
830,553.0,0.522907701,58683
840,559.0,0.542476313,59389
850,555.0,0.546911365,60085
860,557.0,0.551448247,60776
870,555.0,0.555651192,61459
880,553.0,0.559974173,62158
890,547.0,0.564332425,62865
900,547.0,0.568984791,63559
910,543.0,0.573771415,64259
920,551.0,0.582009484,64964
930,555.0,0.586891682,65675
940,553.0,0.591550307,66376
950,549.0,0.596256149,67081
960,551.0,0.60103936,67774
970,549.0,0.612444998,68472
980,553.0,0.617055836,69158
990,557.0,0.621877162,69862
1000,541.0,0.626200142,70570
1010,545.0,0.634805712,71268
1020,547.0,0.639959269,71975
1030,551.0,0.644167902999,72673
1040,555.0,0.648448216999,73390
1050,555.0,0.692107531999,74096
1060,555.0,0.696323560999,74805
1070,549.0,0.700727892999,75497
1080,555.0,0.705959955999,76192
1090,561.0,0.710640766999,76904
1100,561.0,0.717858819,77618
1110,559.0,0.722917372,78312
1120,563.0,0.727856458,79022
1130,569.0,0.732975313,79721
1140,567.0,0.738747821,80415
1150,573.0,0.743277307,81120
1160,571.0,0.7492768,81818
1170,581.0,0.753689665,82523
1180,583.0,0.757931863,83214
1190,579.0,0.762424941,83911
1200,577.0,0.76721441,84613
1210,579.0,0.771836057,85327
1220,577.0,0.779287922,86019
1230,577.0,0.785167381,86729
1240,577.0,0.789881756,87416
1250,579.0,0.794329323,88106
1260,577.0,0.811844818,88818
1270,587.0,0.816907922,89513
1280,585.0,0.821828803,90209
1290,581.0,0.827469328,90901
1300,581.0,0.83367931,91600
1310,575.0,0.838512013999,92292
1320,583.0,0.843061980999,93005
1330,589.0,0.850012086999,93712
1340,583.0,0.858092572999,94416
1350,577.0,0.862781348999,95099
1360,579.0,0.867054267,95795
1370,579.0,0.871798793999,96496
1380,577.0,0.876605899,97192
1390,579.0,0.880628505999,97883
1400,575.0,0.885212037999,98594
1410,575.0,0.890145435999,99271
1420,571.0,0.894365447999,99982
1430,571.0,0.899181654999,100665
1440,575.0,0.904887032999,101348
1450,568.0,0.910109424999,102053
1460,569.0,0.916209611999,102760
1470,568.0,0.920879045,103455
1480,567.0,0.934428252,104144
1490,570.0,0.938523677,104852
1500,576.0,0.943001396,105553
1510,574.0,0.947533728,106245
1520,566.0,0.953959319,106948
1530,566.0,0.961716108,107640
1540,564.0,0.965924173,108341
1550,566.0,0.970682922,109025
1560,566.0,0.975152676,109730
1570,566.0,0.980924614,110429
1580,564.0,1.008125997,111132
1590,564.0,1.013817722,111834
