iterations,fitness,time,fevals
0,557.0,21.065466502,1000
10,607.0,40.064390166,2100
20,667.0,57.544466852,3200
30,701.0,73.391289185,4300
40,713.0,87.121466137,5400
50,719.0,100.186846738,6500
60,719.0,112.90624895,7600
70,723.0,125.872872855,8700
80,719.0,140.777078929,9800
90,719.0,153.982012895,10900
100,719.0,167.409916286,12000
110,723.0,181.036710914,13100
120,727.0,194.676306662,14200
130,723.0,207.722210241,15300
140,725.0,220.84444836,16400
150,725.0,233.708257123,17500
160,729.0,246.84081601,18600
170,729.0,259.986919554,19700
180,731.0,272.920278866,20800
190,731.0,286.25283946,21900
200,733.0,299.504872808,23000
210,729.0,312.607120201,24100
220,731.0,325.654050623,25200
230,731.0,338.858747932,26300
240,731.0,352.135904515,27400
250,731.0,365.391815974,28500
260,729.0,380.151580795,29600
270,731.0,393.391673752,30700
280,731.0,406.42404576,31800
290,731.0,420.137808585,32900
300,733.0,434.30097934,34000
310,735.0,447.30808589,35100
320,733.0,460.389891427,36200
330,735.0,473.790144582,37300
340,735.0,488.028089417,38400
350,739.0,501.679189789,39500
360,737.0,515.549826915,40600
370,739.0,528.289413845,41700
380,735.0,541.526805152,42800
390,739.0,554.791541771,43900
400,737.0,568.680439635,45000
410,739.0,582.260429566,46100
420,743.0,595.141716278,47200
430,743.0,608.1868968,48300
440,741.0,621.097746917,49400
450,739.0,633.756421464,50500
460,739.0,647.607419436,51600
470,741.0,661.763492174,52700
480,739.0,675.574162239,53800
490,739.0,689.719906245,54900
500,739.0,703.654193414,56000
510,739.0,717.804830426,57100
520,741.0,732.106326317,58200
530,739.0,746.183405532,59300
540,739.0,760.358175346,60400
550,741.0,773.653664917,61500
560,741.0,787.045724946,62600
570,741.0,800.289145898,63700
580,741.0,813.562774806,64800
590,745.0,826.97668412,65900
600,741.0,841.025505526,67000
610,741.0,854.800580264,68100
620,741.0,868.506633517,69200
630,743.0,882.143602709,70300
640,741.0,896.164744296,71400
650,743.0,910.261391555,72500
660,743.0,924.039431906,73600
670,745.0,937.255984274,74700
680,745.0,952.736830665,75800
690,745.0,969.132616911,76900
700,745.0,982.94494756,78000
710,747.0,997.035104943,79100
720,747.0,1010.50058112,80200
730,749.0,1024.12651843,81300
740,753.0,1038.4354366,82400
750,751.0,1053.06946123,83500
760,751.0,1066.89744597,84600
770,751.0,1080.20095004,85700
780,749.0,1094.85300102,86800
790,755.0,1108.39311133,87900
800,751.0,1121.46485096,89000
810,751.0,1134.35946672,90100
820,751.0,1148.69947577,91200
830,749.0,1163.41435418,92300
840,751.0,1176.42502083,93400
850,753.0,1189.53567923,94500
860,753.0,1203.26714529,95600
870,751.0,1217.03705395,96700
880,751.0,1229.90579896,97800
890,749.0,1243.10503608,98900
900,751.0,1256.31372186,100000
910,751.0,1269.50888745,101100
920,753.0,1282.8479254,102200
930,755.0,1295.77235772,103300
940,753.0,1308.80413922,104400
950,755.0,1322.20730053,105500
960,753.0,1335.63818148,106600
970,753.0,1348.85917345,107700
980,753.0,1362.81574226,108800
990,753.0,1376.28454131,109900
1000,753.0,1389.79642169,111000
1010,753.0,1402.73663553,112100
1020,753.0,1416.07210656,113200
1030,755.0,1430.17405813,114300
1040,753.0,1445.08217076,115400
1050,751.0,1458.83686622,116500
1060,753.0,1472.37911042,117600
1070,753.0,1485.87284383,118700
1080,753.0,1499.06205373,119800
1090,755.0,1512.85705605,120900
1100,757.0,1526.66840253,122000
1110,757.0,1539.88395649,123100
1120,759.0,1553.43127348,124200
1130,757.0,1566.37805001,125300
1140,757.0,1579.14661724,126400
1150,759.0,1592.57049689,127500
1160,759.0,1606.81231016,128600
1170,757.0,1620.991201,129700
1180,755.0,1634.74394517,130800
1190,757.0,1648.8496406,131900
1200,757.0,1663.81044648,133000
