iterations,fitness,time,fevals
0,0.0353677217577,0.46245936,1000
10,0.0402878313176,0.939256407,2100
20,0.0394165008744,1.420077768,3200
30,0.0417170423429,1.913242293,4300
40,0.036372064883,2.401157119,5400
50,0.0363572767101,2.864055092,6500
60,0.0350600793368,3.388511306,7600
70,0.0407243898216,3.85980436,8700
80,0.0360342747754,4.337824516,9800
90,0.0350978802057,4.903236121,10900
100,0.0373452462282,5.436813887,12000
110,0.0377969191767,5.920993963,13100
120,0.0401032506544,6.491740031,14200
130,0.0364790516709,7.0277771,15300
140,0.0405417093044,7.498342547,16400
150,0.0411895372321,7.949326866,17500
160,0.042944477675,8.500279043,18600
170,0.0437746018415,8.95703018,19700
180,0.0470593747449,9.466167945,20800
190,0.045354111762,9.877488248,21900
200,0.045275772573,10.370537289,23000
210,0.0462990013015,10.821102906,24100
220,0.0485447219736,11.252685865,25200
230,0.0487417873219,11.65722616,26300
240,0.046198268893,12.21784602,27400
250,0.0459893747385,12.653410058,28500
260,0.0511385432613,13.074985707,29600
270,0.0481134018074,13.578295783,30700
280,0.0484610686452,14.048721283,31800
290,0.0517664821368,14.485289409,32900
300,0.0465579724919,14.927836549,34000
310,0.0497353263047,15.398263755,35100
320,0.0486888295713,15.929078431,36200
330,0.051032097478,16.453125045,37300
340,0.0491940985277,16.945237696,38400
350,0.0503447649789,17.594492595,39500
360,0.050097962252,18.142909807,40600
370,0.0492134120784,18.718606339,41700
380,0.0528761488605,19.164840443,42800
390,0.0495628191735,19.619712543,43900
400,0.0515861513541,20.025134615,45000
410,0.0526157855333,20.467408688,46100
420,0.0509996463794,20.983016417,47200
430,0.0493647940265,21.440774486,48300
440,0.0502341793251,21.882503564,49400
450,0.0486160936063,22.387221637,50500
460,0.0525093589172,22.887413068,51600
470,0.0520631314388,23.38325535,52700
480,0.0549288302582,23.843819175,53800
490,0.0541184785864,24.364814274,54900
500,0.0557238127846,24.936078599,56000
510,0.0548820439342,25.483889945,57100
520,0.0546282359608,25.939258115,58200
530,0.0573591337262,26.421779313,59300
540,0.0567373097672,26.912304767,60400
550,0.0540206326275,27.343589629,61500
560,0.0543706019646,27.802186239,62600
570,0.0539367237968,28.371890673,63700
580,0.0556930548223,28.865265118,64800
590,0.0548360763451,29.304033703,65900
600,0.0566028395713,29.748922386,67000
610,0.0547250899715,30.19039262,68100
620,0.0561133064296,30.625809317,69200
630,0.0532108224276,31.097117732,70300
640,0.056522068471,31.595522855,71400
650,0.0551497211092,32.034021218,72500
660,0.057128106217,32.485371332,73600
670,0.0559789237408,32.956885115,74700
680,0.0549451404688,33.393191552,75800
690,0.056338242193,33.877863147,76900
700,0.0555253737462,34.339249015,78000
710,0.05598245329,34.835306337,79100
720,0.0534661101052,35.468487303,80200
730,0.0533132046656,35.952793671,81300
740,0.0553443078243,36.508952312,82400
750,0.0550991261976,36.984396543,83500
760,0.0576353980185,37.397822302,84600
770,0.0558024942086,37.847029983,85700
780,0.0542729110428,38.37442621,86800
790,0.0549123934897,38.89567162,87900
800,0.0557611784716,39.325046156,89000
810,0.0553340321048,39.792130577,90100
820,0.0559735936252,40.288037142,91200
830,0.0566064957214,40.708018198,92300
840,0.0523268356653,41.227925014,93400
850,0.0588574890491,41.743317703,94500
860,0.0540425830426,42.258412863,95600
870,0.0530770148247,42.730842555,96700
880,0.0544448127417,43.196125307,97800
890,0.0570045320169,43.648107455,98900
900,0.056398020623,44.171549911,100000
910,0.0537532192659,44.889829139,101100
920,0.0558337342093,45.404372479,102200
930,0.0560458749549,45.881461365,103300
940,0.0545701212323,46.351455647,104400
950,0.0566484572337,46.802339841,105500
960,0.0541479082805,47.265145085,106600
970,0.0578443574086,47.703677013,107700
980,0.0547912786383,48.133884401,108800
990,0.0561377779077,48.585638995,109900
1000,0.0533202141091,49.437806601,111000
1010,0.0564006198955,50.042534061,112100
1020,0.056205581507,50.522646018,113200
1030,0.0555177991563,50.990967769,114300
1040,0.0550191543913,51.60046308,115400
1050,0.0561478877519,52.082016599,116500
1060,0.0546157577949,52.566553936,117600
1070,0.0541182208943,53.013103772,118700
1080,0.0545468137029,53.535792451,119800
1090,0.0573969069824,54.053067022,120900
1100,0.0550692673019,54.531386982,122000
1110,0.052852373614,55.002778454,123100
1120,0.0553641990342,55.453919217,124200
1130,0.0556677685564,55.939333779,125300
1140,0.0564779042192,56.416462487,126400
1150,0.0535100168877,56.848769641,127500
1160,0.0562668262469,57.28253258,128600
1170,0.0529864643561,57.90409742,129700
