iterations,fitness,time,fevals
0,0.0218541900679,3.291299141,1000
10,0.0241686740187,6.345388451,2100
20,0.0243598939481,9.336393762,3200
30,0.0247578032525,12.351898238,4300
40,0.0253414192367,15.37907516,5400
50,0.0257487916301,18.521982122,6500
60,0.0268710322115,21.630101577,7600
70,0.0269926881149,24.562234367,8700
80,0.027627918519,27.595458569,9800
90,0.0269806724385,30.567101205,10900
100,0.0279513344046,33.536478529,12000
110,0.026891316615,37.363170189,13100
120,0.0293157644682,40.342199267,14200
130,0.0292348227819,43.441675605,15300
140,0.0300395727913,46.45881791,16400
150,0.0300534887974,49.491254201,17500
160,0.0303429055309,52.433203154,18600
170,0.0302092051754,55.346815793,19700
180,0.0313123032913,58.383778727,20800
190,0.0305471087568,61.251184569,21900
200,0.0316647821847,64.207503635,23000
210,0.0308155873056,67.217597985,24100
220,0.0335671454721,69.919674142,25200
230,0.0327827414242,72.930816384,26300
240,0.032258908075,76.03097937,27400
250,0.0329725435898,79.036453211,28500
260,0.0324409378755,81.875212694,29600
270,0.0348384218607,84.898126368,30700
280,0.0325066032579,87.73563259,31800
290,0.0321401318586,90.761829317,32900
300,0.0325027197619,93.689987286,34000
310,0.0319367903425,96.619412738,35100
320,0.0318249919656,99.497105214,36200
330,0.0332746103226,102.36159778,37300
340,0.0338393161852,105.267722144,38400
350,0.0334977172811,108.12380882,39500
360,0.0330007805199,111.028080885,40600
370,0.0346867075077,113.945374798,41700
380,0.0358233042371,116.91169321,42800
390,0.0350330888256,119.877768138,43900
400,0.0353095836872,122.965595355,45000
410,0.0345953708583,125.79336904,46100
420,0.0330641130927,128.616156421,47200
430,0.0365413175646,131.406030213,48300
440,0.0339995071255,134.269505607,49400
450,0.0344942285581,137.159016733,50500
460,0.0350068273773,140.143380844,51600
470,0.0349638292201,143.027009667,52700
480,0.0353193802106,145.935139931,53800
490,0.0348902517749,148.71692129,54900
500,0.0345263517303,151.570372308,56000
510,0.0357393429196,154.333111276,57100
520,0.0342039627843,157.275021545,58200
530,0.0353845794922,160.245413196,59300
540,0.0363280855905,163.403463958,60400
550,0.0352088198982,166.353243087,61500
560,0.0346805719488,169.223929137,62600
570,0.0358208896181,172.044632681,63700
580,0.0344344838557,174.941588277,64800
590,0.0342375011491,178.046426955,65900
600,0.0356108750494,181.095294441,67000
610,0.0343716969566,184.430334818,68100
620,0.0358868267297,187.230019654,69200
630,0.0357659742366,190.256658977,70300
640,0.0358564488494,193.384909106,71400
650,0.0356060293214,196.398469691,72500
660,0.0340444634733,199.396807969,73600
670,0.036373891479,202.397098671,74700
680,0.0358512767917,205.347852874,75800
690,0.0346151129847,208.313278132,76900
700,0.0359175377103,211.538152763,78000
710,0.0362812980889,214.671111009,79100
720,0.0343405742086,217.66302199,80200
730,0.0357031218392,220.814866752,81300
740,0.0352867757006,223.993474854,82400
750,0.0344488189638,226.905650482,83500
760,0.0356162425496,230.263714328,84600
770,0.0356810905419,233.488222026,85700
780,0.0354543445758,236.335881763,86800
790,0.0362018165797,239.352856814,87900
800,0.0353249653097,242.591227177,89000
810,0.0341087147887,245.830753521,90100
820,0.0356601232303,249.153048529,91200
830,0.0360465779185,252.406632666,92300
840,0.0354156909659,255.603257453,93400
850,0.0351531645279,259.032123403,94500
860,0.0359316986457,262.229543495,95600
870,0.0352414875733,265.316456509,96700
880,0.0359434579257,268.393861128,97800
890,0.0350216097705,271.516584509,98900
900,0.0349815949173,274.598014011,100000
910,0.0347769322347,278.222384039,101100
920,0.0352327948606,281.665905115,102200
930,0.0354415717098,284.857840557,103300
940,0.0354505674585,287.880256454,104400
950,0.0355400041939,291.059007346,105500
960,0.0350500764332,295.00965858,106600
970,0.0361078243822,298.091252491,107700
980,0.035792722071,301.445681143,108800
990,0.0349818072024,304.573275344,109900
1000,0.0360080890129,307.622047826,111000
1010,0.0351750853547,310.907555687,112100
1020,0.0356767908411,314.064113687,113200
1030,0.0359669422752,317.342987175,114300
1040,0.0367079360252,320.67808501,115400
1050,0.0365316570976,323.976379768,116500
1060,0.0379896955558,326.98177681,117600
1070,0.0365349967184,330.051615217,118700
1080,0.0370276612446,333.079309257,119800
1090,0.0373425648766,336.459494317,120900
1100,0.0376995953263,340.250040535,122000
1110,0.0369327231307,343.459215562,123100
1120,0.0380262863188,346.604061293,124200
1130,0.0382234014081,349.843536437,125300
1140,0.0378785559358,352.961833299,126400
1150,0.0373030404728,356.514203145,127500
1160,0.0372544512437,359.694875741,128600
1170,0.0381785018555,363.118842427,129700
1180,0.037378219224,366.428153134,130800
1190,0.0366315886449,369.697930671,131900
1200,0.0372863112189,373.357080809,133000
1210,0.0370058833491,377.193546534,134100
1220,0.0378754685413,380.995691242,135200
1230,0.0371507545205,384.750994275,136300
1240,0.0372523391719,388.215553401,137400
1250,0.0365434519432,391.723868553,138500
1260,0.0374653417901,394.900063431,139600
1270,0.0370580921662,398.147564448,140700
1280,0.0375782359616,401.726297136,141800
1290,0.0383512249642,404.876665064,142900
1300,0.0379563828324,407.765671018,144000
1310,0.0375746363689,411.850272639,145100
1320,0.0384902481728,415.024367751,146200
1330,0.0389887023465,418.115640724,147300
1340,0.0379450391955,421.423274349,148400
1350,0.0377346185748,424.815918057,149500
1360,0.0379293940213,427.866897824,150600
1370,0.036864834257,430.969606016,151700
1380,0.0382724605079,434.063959517,152800
1390,0.0382525258644,437.102068191,153900
1400,0.0365761245335,440.15299107,155000
1410,0.0372555886725,443.121661835,156100
1420,0.0389098467115,446.147206048,157200
1430,0.0382490614139,449.452173864,158300
1440,0.0376542850816,452.630663637,159400
1450,0.0387182811659,455.632316257,160500
1460,0.0384377152131,458.781586801,161600
1470,0.0376748982638,461.820221698,162700
1480,0.0385761501025,464.851554347,163800
1490,0.0370873107359,467.737769336,164900
1500,0.0379260920113,470.733711458,166000
1510,0.0388162952367,473.840403004,167100
1520,0.0395963061074,476.886115437,168200
1530,0.039319983874,480.017018291,169300
1540,0.0378786998462,483.009905484,170400
1550,0.0376151668241,485.972178533,171500
1560,0.0382591460385,489.076359576,172600
1570,0.0381983213299,491.988420288,173700
1580,0.0377342096082,494.800753213,174800
1590,0.0385045304416,497.93530776,175900
1600,0.0369258382818,500.944355925,177000
1610,0.0378502398876,504.148479226,178100
1620,0.0381789918838,507.273674426,179200
1630,0.0386169740642,510.472437094,180300
1640,0.0383541340479,513.545739461,181400
1650,0.0386406540823,516.636023706,182500
1660,0.0396013911655,519.845066182,183600
1670,0.0381785862521,522.887736201,184700
1680,0.0382632577088,525.492599625,185800
1690,0.038471151847,528.263980003,186900
1700,0.0380093300813,531.110305697,188000
1710,0.0388830701956,534.025249533,189100
1720,0.0386205717478,536.86131078,190200
1730,0.0380212297145,540.064501104,191300
1740,0.0376797788409,543.016315146,192400
1750,0.0374285906208,546.233105878,193500
1760,0.0371097131838,549.27196264,194600
1770,0.0380114699078,552.297025004,195700
1780,0.0384196366084,555.730688387,196800
1790,0.0384976359529,558.82087137,197900
1800,0.0380521068236,561.864350349,199000
1810,0.0380065351191,564.767563713,200100
1820,0.0369117431163,567.857562945,201200
1830,0.0376969310411,570.858666019,202300
1840,0.0382848913879,573.867208442,203400
1850,0.0383159952324,576.822129751,204500
1860,0.037823954028,580.046261414,205600
1870,0.0383893778882,583.157904562,206700
1880,0.0371463294793,586.285592629,207800
1890,0.0381921679856,589.442725206,208900
1900,0.037477572746,592.518559694,210000
1910,0.0379155418331,595.721071904,211100
1920,0.0379232090642,598.867947428,212200
1930,0.0386198426944,602.049523987,213300
1940,0.0383253941519,605.302667236,214400
1950,0.0375514043091,608.509059263,215500
1960,0.0382647373117,611.61599088,216600
1970,0.0390768344501,614.812368769,217700
1980,0.0381272758864,618.0721828,218800
1990,0.0378543393639,621.104278897,219900
2000,0.0398200644479,624.189808375,221000
2010,0.0378059120454,626.937991773,222100
2020,0.0380023023002,629.925825532,223200
2030,0.0383842770788,632.92684498,224300
2040,0.0376092859163,635.876657105,225400
2050,0.037628250688,639.199011846,226500
2060,0.0378484602078,642.602922952,227600
2070,0.03828645379,645.995795353,228700
2080,0.037781401209,649.245249363,229800
