iterations,fitness,time,fevals
0,77.0,0.052576067,1000
10,79.0,0.098352215,2100
20,81.0,0.142868276,3200
30,81.0,0.183031775,4300
40,81.0,0.219878087,5400
50,81.0,0.270245731,6500
60,83.0,0.311363824,7600
70,81.0,0.347720892,8700
80,81.0,0.395973979,9800
90,82.0,0.436126099,10900
100,80.0,0.467914427,12000
110,81.0,0.497667842,13100
120,82.0,0.531144061,14200
130,84.0,0.559066795,15300
140,82.0,0.583414636,16400
150,83.0,0.61461189,17500
160,91.0,0.65016967,18600
170,91.0,0.690214839,19700
180,93.0,0.730313483999,20800
190,91.0,0.763171322,21900
200,91.0,0.796140093,23000
210,91.0,0.826498805,24100
220,86.0,0.861115643999,25200
230,91.0,0.900433774999,26300
240,92.0,0.938751231,27400
250,92.0,0.983167167999,28500
260,93.0,1.02433703,29600
270,93.0,1.064442501,30700
280,92.0,1.101661435,31800
290,93.0,1.146124589,32900
300,94.0,1.173752639,34000
310,97.0,1.221821975,35100
320,92.0,1.259534135,36200
330,93.0,1.300414432,37300
340,92.0,1.34312086,38400
350,93.0,1.383342385,39500
360,92.0,1.443391935,40600
370,93.0,1.480826477,41700
380,94.0,1.515297681,42800
390,93.0,1.553427405,43900
400,93.0,1.588970963,45000
410,92.0,1.626260439,46100
420,93.0,1.659042615,47200
430,93.0,1.696078936,48300
440,92.0,1.735366916,49400
450,96.0,1.773691768,50500
460,93.0,1.804979474,51600
470,93.0,1.832203613,52700
480,92.0,1.869379312,53800
490,93.0,1.903235549,54900
500,93.0,1.935258259,56000
510,94.0,1.967808328,57100
520,92.0,2.001870502,58200
530,93.0,2.032519916,59300
540,97.0,2.070325373,60400
550,96.0,2.109611646,61500
560,93.0,2.147368748,62600
570,91.0,2.18480329,63700
580,92.0,2.21851446,64800
590,91.0,2.253941396,65900
600,92.0,2.289117453,67000
610,94.0,2.327020759,68100
620,93.0,2.402368847,69200
630,94.0,2.436693847,70300
640,93.0,2.470504003,71400
650,91.0,2.49671609,72500
660,92.0,2.525531978,73600
670,92.0,2.562253135,74700
680,93.0,2.597709653,75800
690,93.0,2.634236819,76900
700,92.0,2.678148721,78000
710,91.0,2.716922426,79100
720,91.0,2.75982512,80200
730,93.0,2.795726509,81300
740,93.0,2.832123399,82400
750,93.0,2.870470437,83500
760,91.0,2.910858077,84600
770,93.0,2.951056278,85700
780,93.0,2.986705081,86800
790,94.0,3.027020473,87900
800,94.0,3.054570585,89000
810,92.0,3.087114965,90100
820,92.0,3.122688106,91200
830,93.0,3.160820674,92300
840,91.0,3.198785989,93400
850,91.0,3.234765885,94500
860,93.0,3.2731664,95600
870,93.0,3.308420395,96700
880,92.0,3.341760081,97800
890,93.0,3.397834241,98900
900,94.0,3.429304561,100000
910,98.0,3.465061452,101100
920,96.0,3.499234559,102200
930,94.0,3.540473825,103300
940,94.0,3.577095995,104400
950,93.0,3.607999133,105500
960,94.0,3.643173483,106600
970,93.0,3.677567319,107700
980,93.0,3.715298821,108800
990,94.0,3.750309331,109900
1000,94.0,3.786935483,111000
1010,95.0,3.823096285,112100
1020,94.0,3.856516184,113200
1030,94.0,3.883731221,114300
1040,94.0,3.910769334,115400
1050,95.0,3.934691647,116500
1060,93.0,3.970824573,117600
1070,93.0,4.013192513,118700
1080,94.0,4.046218741,119800
1090,94.0,4.075442522,120900
1100,94.0,4.109351664,122000
