iterations,fitness,time,fevals
0,69.0,0.000440319,11
10,69.0,0.000744106,21
20,69.0,0.001011483,31
30,69.0,0.001266344,41
40,70.0,0.001510397,51
50,70.0,0.00178517,61
60,70.0,0.002061081,71
70,70.0,0.002351782,81
80,70.0,0.002589578,91
90,70.0,0.002891657,101
100,71.0,0.003128314,111
110,75.0,0.003296705,121
120,75.0,0.003474767,131
130,75.0,0.003624384,141
140,75.0,0.003770019,151
150,75.0,0.006324326,161
160,75.0,0.006528557,171
170,75.0,0.006671917,181
180,76.0,0.006815846,191
190,76.0,0.007020076,201
200,76.0,0.00715092,211
210,76.0,0.007272662,221
220,76.0,0.007414315,231
230,76.0,0.007574173,241
240,76.0,0.007721515,251
250,76.0,0.007878528,261
260,76.0,0.00803611,271
270,76.0,0.008157852,281
280,76.0,0.008285282,291
290,76.0,0.008447415,301
300,76.0,0.00859362,311
310,76.0,0.008732429,321
320,76.0,0.008867824,331
330,76.0,0.008987291,341
340,76.0,0.009169335,351
350,76.0,0.009308713,361
360,76.0,0.009464588,371
370,76.0,0.009598277,381
380,76.0,0.009892392,391
390,76.0,0.010061351,401
400,76.0,0.010192764,411
410,76.0,0.010291181,421
420,76.0,0.010396426,431
430,76.0,0.010499964,441
440,76.0,0.010598382,451
450,77.0,0.010693955,461
460,77.0,0.010813421,471
470,77.0,0.010956212,481
480,77.0,0.011071127,491
490,79.0,0.011190594,501
500,79.0,0.011306079,511
510,79.0,0.011438061,521
520,79.0,0.011529652,531
530,79.0,0.011713971,541
540,79.0,0.011836851,551
550,79.0,0.011912513,561
560,79.0,0.011985899,571
570,79.0,0.012060992,581
580,79.0,0.012132103,591
590,79.0,0.012203783,601
600,79.0,0.012277739,611
610,79.0,0.012349988,621
620,79.0,0.012426788,631
630,79.0,0.012516672,641
640,79.0,0.012594041,651
650,80.0,0.01266629,661
660,80.0,0.012731143,671
670,80.0,0.012794858,681
680,80.0,0.012864262,691
690,80.0,0.013022981,701
700,80.0,0.013092954,711
710,80.0,0.013164634,721
720,80.0,0.013228918,731
730,80.0,0.013296046,741
740,80.0,0.013426322,751
750,80.0,0.013503122,761
760,80.0,0.013564562,771
770,80.0,0.013628846,781
780,80.0,0.013697681,791
790,80.0,0.014700631,801
800,80.0,0.014768898,811
810,80.0,0.014846836,821
820,80.0,0.014912258,831
830,80.0,0.014971992,841
840,80.0,0.015034001,851
850,80.0,0.015108526,861
860,81.0,0.015177361,871
870,81.0,0.015251317,881
880,81.0,0.015313326,891
890,81.0,0.015382731,901
900,81.0,0.015445309,911
910,81.0,0.015509025,921
920,81.0,0.015674572,931
930,81.0,0.0157929,941
940,81.0,0.015856046,951
950,81.0,0.015912366,961
960,81.0,0.015985183,971
970,81.0,0.01603752,981
980,81.0,0.016111476,991
990,81.0,0.016171778,1001
1000,81.0,0.016225254,1011
1010,81.0,0.01631457,1021
1020,81.0,0.016395352,1031
1030,81.0,0.016450534,1041
1040,81.0,0.016513681,1051
1050,81.0,0.016574552,1061
1060,81.0,0.016634286,1071
1070,81.0,0.016709379,1081
1080,81.0,0.016787316,1091
1090,81.0,0.016848756,1101
1100,81.0,0.016905076,1111
1110,81.0,0.016962534,1121
1120,81.0,0.017016578,1131
1130,81.0,0.017075742,1141
1140,81.0,0.017138889,1151
1150,81.0,0.017193502,1161
1160,81.0,0.017258355,1171
1170,81.0,0.017311262,1181
1180,81.0,0.017363031,1191
1190,81.0,0.01742504,1201
1200,81.0,0.017489893,1211
1210,81.0,0.017550764,1221
1220,81.0,0.01762415,1231
1230,81.0,0.017724274,1241
1240,81.0,0.017801074,1251
1250,81.0,0.017916559,1261
1260,81.0,0.017969466,1271
1270,81.0,0.01804399,1281
1280,81.0,0.018107706,1291
1290,81.0,0.018157199,1301
1300,81.0,0.018211244,1311
1310,81.0,0.018261875,1321
