iterations,fitness,time,fevals
0,72.0,1.93419999732e-05,11
10,68.0,4.66479999659e-05,21
20,70.0,7.16790000297e-05,31
30,11.0,9.61410000855e-05,41
40,70.0,0.000123448000068,51
50,69.0,0.000149048000026,61
60,10.0,0.000174647999984,71
70,70.0,0.00019911000004,81
80,68.0,0.000220728000045,91
90,68.0,0.000243484000066,101
100,67.0,0.000271360000056,111
110,69.0,0.000297529000022,121
120,70.0,0.000323697999988,131
130,71.0,0.000351003999981,141
140,69.0,0.000377172999947,151
150,69.0,0.000416995000023,161
160,69.0,0.000443733000111,171
170,70.0,0.000468195000053,181
180,71.0,0.000505171999976,191
190,72.0,0.000545562999946,201
200,75.0,0.000572868999939,211
210,74.0,0.000599606999913,221
220,71.0,0.000631463999866,231
230,72.0,0.000660476999883,241
240,70.0,0.000700867999853,251
250,70.0,0.000729311999862,261
260,69.0,0.000756049999836,271
270,69.0,0.000783925999826,281
280,69.0,0.000808956999776,291
290,69.0,0.000835125999743,301
300,70.0,0.000864708999757,311
310,69.0,0.000893152999765,321
320,70.0,0.000922165999668,331
330,70.0,0.0009466289996,341
340,70.0,0.000973935999582,351
350,70.0,0.000999535999654,361
360,69.0,0.0010239979996,371
370,68.0,0.00104959799967,381
380,71.0,0.00108543799968,391
390,70.0,0.00111046899963,401
400,70.0,0.00113208699963,411
410,69.0,0.00116963299968,421
420,71.0,0.00119978399971,431
430,71.0,0.00122481499977,441
440,73.0,0.00124984599972,451
450,72.0,0.00127430899977,461
460,73.0,0.00130275299978,471
470,73.0,0.00132835299974,481
480,74.0,0.00134940199973,491
490,74.0,0.00137045099973,501
500,75.0,0.00140117099977,511
510,75.0,0.00142790899974,521
520,76.0,0.00145521599973,531
530,76.0,0.00148252199972,541
540,77.0,0.00150584599976,551
550,77.0,0.00153087699971,561
560,78.0,0.00155818399969,571
570,78.0,0.00158264699962,581
580,78.0,0.00161393599956,591
590,78.0,0.00164181099956,601
600,78.0,0.00166854899953,611
610,78.0,0.00169699299954,621
620,78.0,0.00172316199962,631
630,78.0,0.00175388099967,641
640,79.0,0.00178004999964,651
650,79.0,0.00180792599963,661
660,79.0,0.00183124999955,671
670,80.0,0.00185741899952,681
680,80.0,0.0018847259995,691
690,81.0,0.00191146399948,701
700,81.0,0.00193820199945,711
710,81.0,0.00196038899946,721
720,81.0,0.00198997199948,731
730,81.0,0.00201841599949,741
740,81.0,0.0020474289995,751
750,83.0,0.00209237199942,761
760,86.0,0.00212366099947,771
770,86.0,0.00215267399949,781
780,86.0,0.00217599899952,791
790,86.0,0.00220102999947,801
800,86.0,0.0022311809995,811
810,86.0,0.00226190099954,821
820,86.0,0.00228806999951,831
830,86.0,0.00233414999957,841
840,86.0,0.00236828299967,851
850,86.0,0.00239672799967,861
860,86.0,0.00242289699963,871
870,86.0,0.00244622199966,881
880,86.0,0.00247295999964,891
890,86.0,0.00249969699962,901
900,86.0,0.00253269299958,911
910,86.0,0.00255943099955,921
920,86.0,0.00259470199956,931
930,86.0,0.00262826699952,941
940,86.0,0.00265614199952,951
950,86.0,0.00269880799954,961
960,86.0,0.00272554599951,971
970,86.0,0.00277958999948,981
980,87.0,0.00280746599947,991
990,88.0,0.00282908399947,1001
1000,88.0,0.00285070199948,1011
1010,88.0,0.00287687099956,1021
1020,88.0,0.00290531499957,1031
1030,88.0,0.00293262099956,1041
1040,89.0,0.00296504699952,1051
1050,89.0,0.00299007799958,1061
1060,89.0,0.00301397099952,1071
1070,89.0,0.00304412199955,1081
1080,89.0,0.00307142799954,1091
1090,89.0,0.0030970279995,1101
1100,89.0,0.00314196999955,1111
1110,89.0,0.00318577399958,1121
1120,89.0,0.00321421899957,1131
1130,89.0,0.00326598799961,1141
1140,89.0,0.00329386299961,1151
1150,89.0,0.00332230799972,1161
1160,92.0,0.00336781899978,1171
1170,92.0,0.00339284999984,1181
