iterations,fitness,time,fevals
0,25.0,0.000882346000026,433
10,25.0,0.00162986500004,768
20,26.0,0.00228010400019,1100
30,25.0,0.00292806800007,1436
40,28.0,0.00914032600008,1764
50,27.0,0.00981445799994,2104
60,28.0,0.0104732309999,2442
70,29.0,0.0111411049998,2778
80,29.0,0.0120245889998,3120
90,29.0,0.0145191629997,3461
100,30.0,0.0151870379998,3791
110,30.0,0.015845811,4128
120,30.0,0.0165040149998,4464
130,30.0,0.0172048849997,4792
140,31.0,0.0178272489998,5131
150,32.0,0.0184598529997,5457
160,31.0,0.0191146429997,5792
170,32.0,0.0198217709997,6125
180,32.0,0.0204953339996,6468
190,33.0,0.0211319199996,6805
200,33.0,0.0217838659996,7145
210,33.0,0.0224830299996,7481
220,34.0,0.0232754909996,7816
230,35.0,0.0239871699996,8145
240,34.0,0.0246004309995,8478
250,36.0,0.0252557899996,8814
260,36.0,0.0259043219996,9149
270,37.0,0.0265807299995,9475
280,38.0,0.0272651029995,9812
290,37.0,0.0283346119995,10147
300,38.0,0.0290644949994,10486
310,39.0,0.0296965299995,10808
320,39.0,0.0303433559995,11152
330,40.0,0.0309497909996,11486
340,40.0,0.0316404209996,11821
350,40.0,0.0324084199997,12152
360,41.0,0.0330415919996,12483
370,42.0,0.0336440449994,12815
380,40.0,0.0342624269995,13144
390,44.0,0.0348893419994,13480
400,43.0,0.0355128439994,13814
410,48.0,0.0361272429993,14144
420,49.0,0.0367774819995,14484
430,48.0,0.0373941569994,14816
440,49.0,0.0379806809995,15147
450,49.0,0.0385848399994,15472
460,49.0,0.0392003769994,15814
470,49.0,0.0398307049993,16155
480,49.0,0.0406106509993,16492
490,49.0,0.0412347209995,16826
500,50.0,0.0418650489996,17156
510,50.0,0.0425004969995,17495
520,50.0,0.0431376519996,17835
530,50.0,0.0437207619996,18162
540,50.0,0.0443078539995,18491
550,51.0,0.0450496839994,18836
560,50.0,0.0456845629992,19179
570,51.0,0.0556327089994,19508
580,51.0,0.0562283349993,19839
590,52.0,0.0568575249993,20172
600,52.0,0.0574759059994,20511
610,53.0,0.0581039579993,20836
620,52.0,0.0587331479994,21178
630,53.0,0.0593731469994,21513
640,53.0,0.0607595279994,21841
650,51.0,0.0613756339994,22184
660,53.0,0.0620088069995,22508
670,51.0,0.0626311709996,22845
680,51.0,0.0632302099996,23174
690,51.0,0.0638593999997,23502
700,51.0,0.0645085009999,23831
710,51.0,0.06516898,24169
720,52.0,0.065810117,24510
730,54.0,0.0664569420001,24850
740,53.0,0.067114577,25188
750,52.0,0.067757989,25521
760,52.0,0.0683615789999,25866
770,53.0,0.0689793919998,26207
780,52.0,0.0696091519999,26546
790,52.0,0.0702303779999,26872
800,52.0,0.0708561549998,27210
810,52.0,0.0720400109999,27549
820,53.0,0.0726743209998,27891
830,53.0,0.0732801869999,28224
840,53.0,0.073907101,28560
850,52.0,0.07451638,28898
860,53.0,0.075127935,29229
870,53.0,0.07575997,29558
880,54.0,0.0763624229999,29901
890,54.0,0.0769830799998,30240
900,54.0,0.0775940659998,30575
910,54.0,0.0781800209998,30899
920,54.0,0.0787944199999,31229
930,54.0,0.0793866319998,31571
940,55.0,0.0800067199998,31896
950,54.0,0.0811206029998,32233
