iterations,fitness,time,fevals
0,24.0,0.1985829,1000
10,46.0,0.392391691,2100
20,49.0,0.53367277,3200
30,38.0,0.684254032,4300
40,52.0,0.854077364,5400
50,39.0,1.019739848,6500
60,52.0,1.189708815,7600
70,47.0,1.311011114,8700
80,46.0,1.43525684,9800
90,48.0,1.57369291,10900
100,55.0,1.711511167,12000
110,52.0,1.843076775,13100
120,52.0,1.991644742,14200
130,59.0,2.126572479,15300
140,55.0,2.265225295,16400
150,53.0,2.395594531,17500
160,56.0,2.627590503,18600
170,56.0,2.775104888,19700
180,52.0,2.910199878,20800
190,53.0,3.045698209,21900
200,53.0,3.160995894,23000
210,51.0,3.276774858,24100
220,52.0,3.425646611,25200
230,52.0,3.55563071,26300
240,54.0,3.669895863,27400
250,53.0,3.806556433,28500
260,55.0,3.927517967,29600
270,51.0,4.046320571,30700
280,51.0,4.177894143,31800
290,52.0,4.314876135,32900
300,57.0,4.44413092,34000
310,52.0,4.574505277,35100
320,52.0,4.729815136,36200
330,52.0,4.860120089,37300
340,52.0,4.984735023,38400
350,52.0,5.10522495,39500
360,53.0,5.238221881,40600
370,54.0,5.391578178,41700
380,53.0,5.537349491,42800
390,53.0,5.655389216,43900
400,57.0,5.779065485,45000
410,53.0,5.90617158,46100
420,56.0,6.023388124,47200
430,54.0,6.142327261,48300
440,53.0,6.274456069,49400
450,54.0,6.401093969,50500
460,54.0,6.514249791,51600
470,55.0,6.633031347,52700
480,54.0,6.753213505,53800
490,54.0,6.8703066,54900
500,54.0,6.9793084,56000
510,54.0,7.092757767,57100
520,54.0,7.209355361,58200
530,54.0,7.347946737,59300
540,56.0,7.483098616,60400
550,57.0,7.59832519,61500
560,54.0,7.711028746,62600
570,56.0,7.829897341,63700
580,60.0,7.953200988,64800
590,54.0,8.074471429,65900
600,55.0,8.193423651,67000
610,55.0,8.325368139,68100
620,54.0,8.43949107,69200
630,54.0,8.559577086,70300
640,56.0,8.738169828,71400
650,57.0,8.885296801,72500
660,55.0,8.999490274,73600
670,54.0,9.117582337,74700
680,54.0,9.232709924,75800
690,54.0,9.423772124,76900
700,54.0,9.554396223,78000
710,56.0,9.66968765,79100
720,54.0,9.788895302,80200
730,59.0,9.916535013,81300
740,54.0,10.040100349,82400
750,58.0,10.165154465,83500
760,55.0,10.276890911,84600
770,54.0,10.39981966,85700
780,54.0,10.523604586,86800
790,54.0,10.633721976,87900
800,53.0,10.758624198,89000
810,54.0,10.874387234,90100
820,54.0,10.987607908,91200
830,58.0,11.114963176,92300
840,54.0,11.225288779,93400
850,54.0,11.341348774,94500
860,54.0,11.462323393,95600
870,54.0,11.594422618,96700
880,54.0,11.708567167,97800
890,55.0,11.829080987,98900
900,54.0,11.944044734,100000
910,54.0,12.065897716,101100
920,54.0,12.181342174,102200
930,54.0,12.296499912,103300
940,54.0,12.414114109,104400
950,60.0,12.525072315,105500
960,54.0,12.641426425,106600
970,54.0,12.763239585,107700
980,55.0,12.892669588,108800
990,55.0,13.013015017,109900
1000,55.0,13.128518071,111000
1010,54.0,13.279795651,112100
1020,54.0,13.448533545,113200
1030,54.0,13.71554401,114300
1040,54.0,13.855175313,115400
1050,55.0,13.976726785,116500
1060,54.0,14.108589353,117600
1070,55.0,14.260425013,118700
1080,54.0,14.441600507,119800
1090,54.0,14.590852846,120900
1100,54.0,14.713998911,122000
1110,62.0,14.844200894,123100
1120,54.0,15.002868899,124200
1130,54.0,15.200578556,125300
1140,54.0,15.315947351,126400
1150,54.0,15.455379544,127500
1160,54.0,15.566095973,128600
1170,56.0,15.694918972,129700
1180,55.0,15.807907541,130800
1190,54.0,15.919991008,131900
1200,58.0,16.04669945,133000
1210,54.0,16.163396599,134100
1220,54.0,16.275362307,135200
1230,54.0,16.401132084,136300
1240,57.0,16.51317573,137400
1250,54.0,16.624663003,138500
1260,54.0,16.795044983,139600
1270,55.0,16.90497464,140700
1280,54.0,17.01789608,141800
1290,56.0,17.13893157,142900
1300,55.0,17.2612152,144000
1310,54.0,17.390792545,145100
1320,55.0,17.54512221,146200
1330,60.0,17.661492818,147300
1340,55.0,17.77666933,148400
1350,56.0,17.891127905,149500
1360,56.0,18.007420575,150600
1370,54.0,18.11835432,151700
1380,55.0,18.233236717,152800
1390,55.0,18.352495001,153900
1400,54.0,18.458738832,155000
1410,55.0,18.571446938,156100
1420,55.0,18.68231526,157200
1430,56.0,18.792568045,158300
1440,57.0,18.901502147,159400
1450,56.0,19.013937187,160500
1460,54.0,19.126579871,161600
1470,54.0,19.243647366,162700
1480,56.0,19.351540403,163800
1490,55.0,19.463198342,164900
1500,55.0,19.576260865,166000
1510,55.0,19.687172991,167100
1520,54.0,19.807251043,168200
1530,55.0,19.915096294,169300
1540,55.0,20.022169564,170400
1550,55.0,20.135733846,171500
1560,55.0,20.259358346,172600
1570,54.0,20.37369461,173700
1580,54.0,20.491803171,174800
1590,55.0,20.604201802,175900
1600,55.0,20.7135273,177000
1610,56.0,20.825160777,178100
1620,56.0,20.93592613,179200
1630,55.0,21.042456681,180300
1640,55.0,21.148657846,181400
1650,55.0,21.266494479,182500
1660,55.0,21.381657338,183600
1670,55.0,21.500897986,184700
1680,55.0,21.611858468,185800
1690,56.0,21.723968104,186900
1700,55.0,21.836749028,188000
1710,54.0,21.952423886,189100
1720,56.0,22.065518268,190200
1730,56.0,22.184548428,191300
1740,55.0,22.304004116,192400
1750,55.0,22.418464966,193500
1760,55.0,22.564340954,194600
1770,54.0,22.726369382,195700
1780,55.0,22.869084627,196800
1790,55.0,22.992138532,197900
1800,56.0,23.120963807,199000
1810,57.0,23.253384455,200100
1820,55.0,23.410104588,201200
1830,55.0,23.540105754,202300
1840,55.0,23.678663565,203400
1850,55.0,23.792760896,204500
1860,55.0,23.913924385,205600
1870,57.0,24.031761017,206700
1880,55.0,24.147492764,207800
1890,55.0,24.278248275,208900
1900,55.0,24.391108275,210000
1910,55.0,24.511479872,211100
1920,54.0,24.626628508,212200
1930,55.0,24.74763726,213300
1940,55.0,24.859477243,214400
1950,57.0,24.981867256,215500
1960,54.0,25.096523235,216600
1970,55.0,25.211538752,217700
1980,55.0,25.331828429,218800
1990,55.0,25.487741879,219900
2000,55.0,25.595706028,221000
2010,55.0,25.708735556,222100
2020,55.0,25.83375952,223200
2030,55.0,25.955268894,224300
2040,54.0,26.089550374,225400
2050,55.0,26.208974204,226500
2060,56.0,26.326765325,227600
2070,55.0,26.439202641,228700
2080,57.0,26.56290451,229800
2090,55.0,26.681915896,230900
2100,55.0,26.797598149,232000
2110,55.0,26.930519418,233100
2120,55.0,27.041185785,234200
2130,55.0,27.175992918,235300
2140,55.0,27.289575974,236400
2150,55.0,27.399528387,237500
2160,56.0,27.516011635,238600
2170,54.0,27.647596585,239700
2180,55.0,27.772162594,240800
2190,57.0,27.899663497,241900
2200,55.0,28.01659958,243000
2210,57.0,28.136723711,244100
2220,55.0,28.25536532,245200
2230,55.0,28.372681988,246300
2240,55.0,28.492097854,247400
2250,54.0,28.633626969,248500
2260,55.0,28.753112239,249600
2270,55.0,28.867221517,250700
2280,55.0,29.008094135,251800
2290,56.0,29.125694679,252900
2300,55.0,29.243432325,254000
2310,55.0,29.376787655,255100
2320,55.0,29.530083082,256200
2330,55.0,29.651741504,257300
2340,55.0,29.764599228,258400
2350,55.0,29.886660423,259500
2360,55.0,30.007802864,260600
2370,55.0,30.125948403,261700
2380,55.0,30.251957682,262800
2390,55.0,30.370633425,263900
2400,56.0,30.499126469,265000
2410,55.0,30.65721876,266100
2420,55.0,30.793465748,267200
2430,55.0,30.909205459,268300
2440,55.0,31.025792244,269400
2450,56.0,31.15412031,270500
2460,61.0,31.309953546,271600
2470,57.0,31.42676618,272700
2480,57.0,31.550910644,273800
2490,57.0,31.665008544,274900
2500,63.0,31.791709022,276000
2510,57.0,31.901923692,277100
2520,58.0,32.015660917,278200
2530,55.0,32.136254381,279300
2540,56.0,32.256821676,280400
2550,57.0,32.378898801,281500
2560,56.0,32.498980834,282600
2570,56.0,32.629603795,283700
2580,60.0,32.793503296,284800
2590,55.0,32.923678542,285900
2600,56.0,33.077069542,287000
2610,57.0,33.216586499,288100
2620,56.0,33.334280341,289200
2630,57.0,33.444773197,290300
2640,63.0,33.553802873,291400
2650,56.0,33.670115454,292500
2660,57.0,33.83276852,293600
2670,57.0,33.981154442,294700
2680,57.0,34.121707345,295800
2690,56.0,34.240637949,296900
2700,56.0,34.363110451,298000
2710,56.0,34.474904923,299100
2720,56.0,34.591841574,300200
2730,55.0,34.729441947,301300
2740,56.0,34.842050498,302400
2750,56.0,34.975536673,303500
2760,56.0,35.08797285,304600
2770,56.0,35.198028231,305700
2780,57.0,35.308847629,306800
2790,56.0,35.430855349,307900
2800,57.0,35.549563518,309000
2810,56.0,35.668692665,310100
2820,56.0,35.78983852,311200
2830,56.0,35.909600839,312300
2840,56.0,36.041465683,313400
2850,56.0,36.156525003,314500
2860,55.0,36.283303987,315600
2870,60.0,36.402618591,316700
2880,56.0,36.561462383,317800
2890,57.0,36.688385295,318900
2900,57.0,36.818905856,320000
2910,59.0,36.934801442,321100
2920,61.0,37.062684638,322200
2930,58.0,37.186102631,323300
2940,62.0,37.315144652,324400
2950,63.0,37.450326681,325500
2960,60.0,37.561630202,326600
2970,62.0,37.691851528,327700
2980,65.0,37.80377912,328800
2990,63.0,37.937103162,329900
3000,62.0,38.052536811,331000
3010,62.0,38.20023893,332100
3020,61.0,38.322996444,333200
3030,62.0,38.458829282,334300
3040,60.0,38.598778594,335400
3050,62.0,38.727884331,336500
3060,61.0,38.842774692,337600
3070,59.0,38.962192833,338700
3080,60.0,39.09924878,339800
3090,61.0,39.24762048,340900
3100,60.0,39.361935696,342000
3110,63.0,39.496139239,343100
3120,63.0,39.620199507,344200
3130,61.0,39.739766697,345300
3140,62.0,39.853886215,346400
3150,62.0,39.996419986,347500
3160,62.0,40.109377265,348600
3170,62.0,40.221583043,349700
3180,60.0,40.336368729,350800
3190,60.0,40.460538792,351900
3200,60.0,40.58269044,353000
3210,60.0,40.715223158,354100
3220,63.0,40.848534115,355200
3230,62.0,40.966205201,356300
3240,60.0,41.075817987,357400
3250,62.0,41.186038914,358500
3260,62.0,41.304425662,359600
3270,60.0,41.421695113,360700
3280,62.0,41.534780961,361800
3290,60.0,41.655231634,362900
3300,59.0,41.795078546,364000
3310,62.0,41.91191678,365100
3320,62.0,42.024197083,366200
3330,59.0,42.134445886,367300
3340,60.0,42.251288102,368400
3350,60.0,42.37653507,369500
3360,62.0,42.486778185,370600
3370,60.0,42.59886279,371700
3380,62.0,42.745238831,372800
3390,60.0,42.856810299,373900
3400,62.0,42.986516212,375000
3410,61.0,43.103320881,376100
3420,61.0,43.219290423,377200
3430,63.0,43.332911594,378300
3440,63.0,43.456833622,379400
3450,63.0,43.589507424,380500
3460,60.0,43.704687349,381600
3470,61.0,43.820980588,382700
3480,64.0,43.968911969,383800
3490,63.0,44.080555117,384900
3500,60.0,44.195871575,386000
3510,61.0,44.334700178,387100
3520,60.0,44.441561252,388200
3530,63.0,44.553500791,389300
3540,61.0,44.665139387,390400
3550,61.0,44.77628874,391500
3560,61.0,44.891641607,392600
3570,60.0,45.019248323,393700
3580,62.0,45.138365523,394800
3590,63.0,45.251813753,395900
3600,65.0,45.371977138,397000
3610,63.0,45.48089645,398100
3620,65.0,45.596479717,399200
3630,61.0,45.711829171,400300
3640,63.0,45.828440988,401400
3650,64.0,45.943664149,402500
3660,61.0,46.067746035,403600
3670,61.0,46.181386548,404700
3680,63.0,46.291095476,405800
3690,63.0,46.397751751,406900
3700,63.0,46.523011235,408000
3710,61.0,46.653716685,409100
3720,62.0,46.772618845,410200
3730,63.0,46.890440686,411300
3740,61.0,47.019773409,412400
3750,63.0,47.132572538,413500
3760,61.0,47.274288247,414600
3770,61.0,47.409756428,415700
3780,62.0,47.527365506,416800
3790,62.0,47.643378852,417900
3800,61.0,47.754345592,419000
3810,61.0,47.874611946,420100
3820,64.0,48.021666102,421200
3830,63.0,48.13632265,422300
3840,64.0,48.253825914,423400
3850,62.0,48.367722427,424500
3860,62.0,48.485596037,425600
3870,65.0,48.596084911,426700
3880,64.0,48.736320374,427800
3890,62.0,48.855399458,428900
3900,64.0,48.979858516,430000
3910,62.0,49.109619611,431100
3920,64.0,49.222759503,432200
3930,65.0,49.333940714,433300
3940,64.0,49.444752147,434400
3950,62.0,49.55929378,435500
3960,64.0,49.748998612,436600
3970,64.0,49.864065897,437700
3980,61.0,49.974682771,438800
3990,65.0,50.091378214,439900
4000,62.0,50.203691512,441000
4010,62.0,50.316917306,442100
4020,64.0,50.426249631,443200
4030,61.0,50.580177661,444300
4040,62.0,50.697306028,445400
4050,62.0,50.805042053,446500
4060,64.0,50.927825737,447600
4070,65.0,51.093585501,448700
4080,64.0,51.259088696,449800
4090,63.0,51.413846734,450900
4100,64.0,51.522514029,452000
4110,61.0,51.657765463,453100
4120,62.0,51.805604684,454200
4130,62.0,51.960156215,455300
4140,66.0,52.096954456,456400
4150,64.0,52.216655334,457500
