iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.88176662391,1.87493060333,1.87140582702,1.07234042553,1.37825421133,1.53243050606,0.222207684
10,1.68542160307,1.67374707345,1.69258769928,9.67659574468,10.1837672282,9.10548823949,2.091753113
20,1.09101641687,1.11595638951,1.1051339822,32.1617021277,30.5513016845,31.6642908054,3.72873482
30,0.815825842529,0.813484206562,0.836763479641,44.4085106383,44.2572741194,43.7990021383,5.418481468
40,0.676846371544,0.680942772861,0.698501961856,52.4425531915,52.067381317,51.3186029936,7.115261279
50,0.59221030239,0.600763485357,0.622828117717,57.685106383,57.6569678407,56.1475409836,8.77089512
60,0.535268711185,0.549400857281,0.56855083075,61.914893617,60.8728943338,59.8360655738,11.056483764
70,0.49754681159,0.512004628492,0.527838859493,64.6468085106,63.0168453292,62.3485388453,14.619337079
80,0.469882404506,0.490454560467,0.500869445377,66.7063829787,64.2419601838,64.2729864576,17.213525886
90,0.447329388243,0.467258878227,0.473969320688,68.0936170213,65.6967840735,66.5003563792,19.870062553
100,0.431356150931,0.446728284522,0.456398135107,68.9787234043,68.0704441041,67.5873129009,22.536369871
110,0.421905580467,0.436669341101,0.447140942857,69.6425531915,68.9127105666,67.9793300071,25.215949918
120,0.410925887301,0.426230672967,0.436004530314,70.0680851064,68.989280245,68.5495367071,27.717787143
130,0.401435492809,0.415855931648,0.426830210628,71.0553191489,69.7549770291,68.9950106914,30.456882553
140,0.394253472781,0.411907874509,0.419729422145,71.770212766,70.2909647779,69.9215965788,33.309925109
150,0.385885592696,0.403988179413,0.41265475719,72.3744680851,71.056661562,70.3848895225,36.831976064
160,0.378607904262,0.399342178235,0.404265993211,73.1063829787,70.9800918836,70.9729151818,39.666446698
170,0.370323470964,0.392827229108,0.396255209482,73.7191489362,71.5160796325,71.7391304348,42.95595043
180,0.364506849067,0.387747541861,0.390568210606,74.1276595745,71.8223583461,71.7925873129,46.00429909
190,0.357596884467,0.381234776461,0.384285105106,74.3234042553,72.8177641654,72.5766215253,49.158895566
200,0.351506617936,0.372201416559,0.378748907557,74.8170212766,73.4303215926,72.7013542409,52.230708015
210,0.348099825206,0.3691770868,0.375944934899,74.9957446809,73.5068912711,73.1290092659,55.295146537
220,0.343006540365,0.364808202902,0.371145323155,75.4127659574,73.2771822358,73.5032074127,58.39040457
230,0.338288336121,0.361319117414,0.367390868898,75.6425531915,73.3537519142,73.8595866001,61.322362712
240,0.334034754699,0.360829160387,0.362915703078,75.9659574468,73.8131699847,73.8595866001,64.29289886
250,0.33072817594,0.358049607382,0.359715553875,76.4085106383,73.5834609495,74.0734141126,67.209004935
260,0.326803090449,0.355241950064,0.356015425799,76.6127659574,73.9663093415,74.4832501782,70.104613402
270,0.324019682067,0.350983291911,0.353394073865,76.8,74.1960183767,74.5367070563,73.068154503
280,0.322551824953,0.350480666861,0.352534724959,76.9276595745,74.6554364472,74.5010691376,76.098484203
290,0.318750467557,0.34554691218,0.34973528838,77.2085106383,75.0382848392,74.5723449751,79.1696174
300,0.31645386618,0.342875053056,0.347791192566,77.3276595745,75.4211332312,74.6079828938,82.04407973
310,0.31408671693,0.340589834176,0.34586168547,77.5319148936,75.4211332312,75.0,85.917893529
320,0.311695678404,0.338448176914,0.343052075751,77.6170212766,75.8039816233,75.1069137562,89.183521596
330,0.309797333185,0.336563029901,0.341507296747,77.7617021277,76.0336906585,75.0890947969,92.062568596
340,0.30739091611,0.332665914815,0.339088000177,77.9829787234,75.8805513017,75.4454739843,95.106552746
350,0.30538089424,0.330522899502,0.337127170008,78.1446808511,75.9571209801,75.4811119031,98.619704587
360,0.304163929159,0.329315154344,0.335596946057,78.0170212766,76.1868300153,75.7840342124,102.39853285
370,0.301799445975,0.327992697542,0.333407004322,78.2808510638,76.1868300153,75.6949394155,106.241828645
380,0.300089331212,0.326294564895,0.331457135778,78.3914893617,76.1868300153,75.9265858874,109.814726248
