iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.71948250918,1.7216646968,4.46537990196,4.43692088382,1.029851265
500,1.21045829966,1.21259503169,5.43045343137,5.4347826087,522.35204899
1000,1.18920656642,1.1887503901,5.94362745098,5.98717034925,1033.8283437
1500,1.23034908074,1.22863160194,5.68321078431,6.09408410549,1549.50953938
2000,1.20327203365,1.20429883623,6.11979166667,6.30791161796,2061.31132228
2500,1.1885003136,1.18772400411,5.7981004902,6.022808268,2573.21032302
3000,1.18410838156,1.18402026569,6.01256127451,6.09408410549,3084.55650222
3500,1.19654395586,1.19653897688,6.46446078431,6.14754098361,3597.09167858
4000,1.17922665693,1.17793818252,5.66789215686,5.80898075552,4106.82854621
4500,1.17379382753,1.17682470787,7.29166666667,7.10976478974,4609.72271654
5000,1.1459673987,1.14872143683,7.65931372549,7.71560940841,5097.05927869
5500,1.14473946893,1.14711204316,7.71292892157,7.84034212402,5583.82682249
6000,1.15441599085,1.15403606617,8.5324754902,8.08980755524,6071.5218194
