iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.73494143294,1.73974530928,1.73866421569,1.46115466857,1.641320617
500,1.43357181726,1.43013697384,5.94362745098,6.04062722737,862.670941471
1000,1.46060839576,1.46224103616,5.8287377451,6.022808268,1724.06130165
1500,1.45393128117,1.45298622793,4.36580882353,4.27655024947,2590.19151672
2000,1.48651536366,1.48452090497,4.27389705882,4.82893799002,3456.45078291
2500,1.48522981343,1.47968476941,6.74785539216,6.73556664291,4315.38274845
3000,1.47843903087,1.47132884022,4.33517156863,4.49037776194,5174.78891292
3500,1.47692916178,1.46737291011,5.00919117647,5.31004989309,6041.75978528
4000,1.52166792512,1.51629109331,5.60661764706,5.66642908054,6910.93819826
4500,1.5029936864,1.49750742847,5.33088235294,5.39914468995,7794.0930109
5000,1.42711128701,1.43233930416,5.66023284314,5.14967925873,8746.77908651
5500,1.44224943774,1.44904454056,5.96660539216,5.55951532431,9688.99562009
6000,1.52992893517,1.53354330952,5.79044117647,5.84461867427,10622.4693599
