iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.62519356689,1.62082138776,2.84926470588,3.29650748396,2.076898309
500,1.54044879107,1.53568188319,2.3131127451,2.49465431219,1048.68143292
1000,1.44401489153,1.44421714237,5.28492647059,5.11404133999,2167.56283171
1500,1.3781285906,1.37708499818,3.01011029412,3.31432644334,3335.92887137
2000,1.31590100981,1.31489506055,4.48835784314,4.33000712758,4658.22849051
2500,1.35713448174,1.35866450353,6.31893382353,6.20099786172,6010.92525553
3000,1.39979377875,1.39847703576,3.4849877451,3.33214540271,7441.98253005
3500,1.36887832985,1.36555824023,5.90533088235,6.64647184604,8599.2317491
4000,1.38484873333,1.38458761579,6.34191176471,6.75338560228,9686.94109679
4500,1.40380941686,1.40886316554,4.95557598039,4.82893799002,10781.0915995
5000,1.33896712043,1.33842421173,6.02022058824,6.09408410549,11931.9433729
5500,1.37214724582,1.37145770817,3.63817401961,3.70634354954,13073.3499271
6000,1.47327214238,1.46879175731,5.51470588235,5.75552387741,14148.8179837
