iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.79698572582,1.79317776726,1.79604672921,1.55744680851,1.60796324655,1.53243050606,2.996006406
100,1.39670234652,1.41364740221,1.39750749253,6.54468085106,5.43644716692,6.29009265859,295.836298469
300,1.26399592338,1.26780204026,1.26434711017,7.11489361702,6.58499234303,7.62651461155,882.85066802
500,1.28482813644,1.2900090832,1.28211413553,6.65531914894,6.04900459418,6.53955808981,1470.09404857
1000,1.273088891,1.27746995114,1.27238122861,6.10212765957,5.2067381317,5.71988595866,2937.48742444
1500,1.29525985596,1.29918040139,1.29087502331,7.37872340426,7.65696784074,7.85816108339,4440.91538814
2000,1.23533550315,1.23243505334,1.23530716267,6.95319148936,7.12098009188,7.66215253029,6024.5574028
2500,1.22163106338,1.23314002456,1.22108005815,7.50638297872,6.81470137825,7.48396293656,7631.44996716
3000,1.27573134865,1.27434266497,1.27860748363,5.6,6.2787136294,5.95153243051,9240.12758626
3500,1.32302381755,1.33492193322,1.32658844733,5.94893617021,5.43644716692,6.11190306486,10836.3311833
4000,1.28356488087,1.28862752798,1.28379228822,6.91063829787,6.73813169985,7.09194583036,12438.7281859
4500,1.27102339432,1.28287901416,1.26931393335,7.51489361702,7.12098009188,8.07198859587,14039.3096805
5000,1.2184753263,1.22419055627,1.21608489793,8.55319148936,8.19295558959,9.034212402,15683.4553175
5500,1.24158926612,1.24909277501,1.24195876951,8.73191489362,7.96324655436,9.12330719886,17313.92765
6000,1.26575829724,1.28220689515,1.26897093304,9.27659574468,8.26952526799,9.49750534569,18928.0502852
