iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.76703855216,1.76707631229,1.76852010337,3.55744680851,3.75191424196,3.56379187455,0.085762722
100,1.62262557972,1.61492157339,1.62184787032,4.64680851064,4.74732006126,4.61511047755,11.029907589
300,1.45668253985,1.45412532076,1.45774725513,6.30638297872,6.2787136294,6.16535994298,32.478295505
500,1.46792754845,1.45788387097,1.46948907834,6.57021276596,6.89127105666,6.36136849608,54.684763187
1000,1.68085855152,1.66205504787,1.68439864534,4.64680851064,5.28330781011,4.27655024947,108.425333155
1500,1.22475769709,1.2137328689,1.22468249595,7.39574468085,7.96324655436,6.71774768354,161.578383386
2000,1.17144507359,1.16342770489,1.17441032159,9.85531914894,9.80091883614,9.46186742694,214.907706437
2500,1.13938685858,1.12798055571,1.14343304266,12.0765957447,12.6339969372,11.5110477548,267.97559753
3000,1.09438133632,1.08189374715,1.09726777879,13.6765957447,14.9310872894,13.4711332858,322.006229308
3500,1.07306988018,1.05911994241,1.07621935669,15.4127659574,16.9984686064,15.2352102637,375.518552844
4000,1.1413003396,1.13394725259,1.14890625361,12.0340425532,12.404287902,11.5645046329,428.402744864
4500,1.04952289082,1.03359388847,1.05366248618,16.9361702128,18.7595712098,16.5181753386,481.306983364
5000,1.03674853566,1.01883086811,1.04027308206,17.8893617021,20.2143950995,17.4803991447,534.239333467
5500,1.04017792272,1.02075662703,1.04080865046,17.6170212766,19.1424196018,17.5160370634,587.623448398
6000,1.0125589589,0.994794239319,1.01505651385,18.7063829787,19.7549770291,18.3178902352,641.501308134
6500,1.00536357672,0.987313908888,1.00818164971,19.1234042553,20.5206738132,19.3692088382,696.657187447
7000,1.02931795905,1.01397856336,1.02948087656,18.0425531915,19.7549770291,17.9793300071,751.591339788
7500,0.984206471694,0.965792961821,0.987009309709,20.4170212766,22.3583460949,20.5096222381,805.186654435
8000,0.982234326753,0.968222607716,0.985074208783,21.114893617,22.6646248086,21.222380613,859.443479523
8500,0.969099460698,0.96208745807,0.97249915,21.9744680851,22.9709035222,21.8282252316,904.640875147
9000,0.961066088131,0.956813983438,0.96493037218,22.7319148936,23.0474732006,22.6300784034,952.961918033
9500,0.944903030002,0.935952294076,0.950969436916,25.2425531915,25.4211332312,25.3029223093,997.85903349
10000,0.932138170682,0.924557675747,0.938274720997,26.1531914894,26.0336906585,25.908766928,1043.78551042
