iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.67214458392,1.68197099791,1.67152066297,5.46382978723,5.35987748851,5.64861012117,0.112169939
100,1.46085991028,1.45898877904,1.46372392207,5.76170212766,5.51301684533,5.80898075552,9.811061456
300,1.34832472628,1.34285168683,1.35405402614,7.67659574468,8.26952526799,7.73342836778,28.420099374
500,1.30373744789,1.30569337152,1.30453379161,8.51063829787,9.11179173047,8.90947968639,47.247713196
1000,1.2430287466,1.24930947789,1.24608607517,8.98723404255,9.26493108729,9.05203136137,94.355690992
1500,1.21204592044,1.21900097053,1.21299309919,9.42127659574,10.0306278714,9.8182466144,141.162279292
2000,1.1839338238,1.18970309002,1.18615969649,10.7489361702,10.9494640123,11.0299358517,188.024022421
2500,1.15071426513,1.15412542003,1.15209146324,12.0425531915,13.0168453292,11.8496079829,236.342075239
3000,1.17099510048,1.1730462887,1.17299302197,11.5574468085,11.2557427259,11.4041339986,282.553242508
3500,1.11900300715,1.12379339467,1.12057154946,12.3659574468,12.3277182236,12.5089094797,329.476496675
4000,1.10697606053,1.11329267988,1.10753274701,12.6127659574,12.0980091884,12.5089094797,376.72172556
4500,1.09948489361,1.10705773542,1.10048088194,13.7957446809,13.4762633997,13.863150392,422.128215435
5000,1.07991570407,1.08278834992,1.07999380655,14.8765957447,14.9310872894,14.6650035638,467.271022858
5500,1.08223442124,1.0845174548,1.08194592628,14.3404255319,14.3185298622,14.6828225232,512.001816483
6000,1.05646192953,1.06799932269,1.06078423279,16.7489361702,15.5436447167,16.6785459729,555.624585658
