iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,1.77297364404,1.7723821141,4.96323529412,4.86457590877,0.057792202
100,1.70023402003,1.70212843923,5.56832107843,5.66642908054,6.521032649
300,1.61142669433,1.61643464425,4.17432598039,4.29436920884,19.406041021
500,1.49461388328,1.49716205251,5.20833333333,5.31004989309,32.445790367
1000,1.38760778576,1.3877790677,9.48988970588,9.31931575196,65.17189351
1500,1.28200667752,1.28577913687,10.1179534314,9.80042765502,98.014730769
2000,1.2011685807,1.20740842578,10.5315563725,10.2459016393,130.866510382
2500,1.14586985403,1.1571792077,12.3161764706,11.8674269423,165.428857949
3000,1.11474915579,1.12163989891,14.9969362745,14.7184604419,200.957415275
3500,1.09614499643,1.10394460914,14.9969362745,14.8075552388,236.09139468
4000,1.09485490205,1.10298767329,15.0965073529,14.6471846044,271.610136418
4500,1.06610234091,1.07235311393,17.1185661765,16.7676407698,309.772108539
5000,1.04208346307,1.04847354114,17.7849264706,17.4625801853,347.136515494
5500,1.03211767172,1.03259980033,18.5738357843,18.6029935852,383.164210664
6000,1.03099124288,1.0308652065,18.918504902,18.8168210976,423.596970653
