iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,1.61582580692,1.61233948542,1.6146799459,1.06382978723,1.0719754977,1.06913756237,0.0765040690021
10,1.61592416657,1.61232270911,1.61519412918,1.06382978723,1.0719754977,1.06913756237,0.930112669026
20,1.5514309157,1.5465039941,1.54991552489,1.27659574468,1.0719754977,1.15823235923,1.77546329002
30,1.55958876029,1.55278963707,1.55931066477,1.2,1.30168453292,1.03349964362,2.569390983
40,1.53385469834,1.52226097199,1.53185275694,1.25106382979,1.22511485452,1.10477548111,3.434850092
50,1.53720924644,1.52327272694,1.53262563188,2.05106382979,1.99081163859,2.12045616536,4.275408965
60,1.52574700279,1.51229123497,1.51914411561,2.67234042553,2.75650842266,2.67284390592,5.13090115199
70,1.49659738495,1.48588131131,1.48954948612,2.54468085106,2.60336906585,2.47683535282,6.006215107
80,1.43808664777,1.4281210946,1.43200429094,1.91489361702,2.67993874426,1.94226657163,6.80621510601
90,1.43083275227,1.42196441674,1.42515416181,2.09361702128,2.83307810107,2.13827512473,7.59747926003
100,1.39709992305,1.39019806281,1.39384488798,3.88085106383,4.2113323124,3.83107626515,8.46192404206
110,1.39111863077,1.38165597355,1.38677926539,4.3914893617,4.36447166922,4.09836065574,9.24674098907
120,1.38800867274,1.378583614,1.38392119457,3.51489361702,4.2113323124,3.51033499644,10.1372101221
130,1.38768012409,1.3793718979,1.38580070874,4.59574468085,4.74732006126,4.15181753386,11.0960396921
140,1.38768109109,1.37937437225,1.38580011449,4.59574468085,4.74732006126,4.15181753386,12.0391980991
150,1.38595864111,1.37882349245,1.38415808385,4.85957446809,4.97702909648,4.29436920884,12.8601775541
160,1.38549261715,1.37833137254,1.38365814201,4.85957446809,4.97702909648,4.29436920884,13.7026131902
170,1.38173537309,1.3739466272,1.3795222699,4.76595744681,4.74732006126,4.20527441197,14.4908696371
180,1.39347930462,1.38176319235,1.38941661165,3.70212765957,4.44104134763,3.5994297933,15.3146150252
190,1.37114074417,1.36545285658,1.36902073871,3.80425531915,4.134762634,3.84889522452,16.1532038432
200,1.37100303621,1.36524293156,1.3684279871,3.76170212766,4.2113323124,3.77761938703,17.0070070052
210,1.37147100832,1.3660608009,1.369335529,3.86382978723,4.05819295559,3.75980042766,17.8199469322
220,1.36993111673,1.36356204393,1.36751880129,3.77021276596,3.98162327718,3.74198146828,18.6394768582
230,1.36679133338,1.35964625999,1.36421433724,3.65106382979,4.36447166922,3.51033499644,19.4860847222
240,1.36332984673,1.35905195578,1.36236485172,4.11063829787,4.134762634,3.88453314326,20.3184516082
250,1.35412967843,1.34676702826,1.35469819342,4.68936170213,4.74732006126,4.45473984319,21.2083359242
260,1.35209125721,1.34433873852,1.34887674548,3.53191489362,3.90505359877,3.84889522452,22.0165592012
270,1.34561812859,1.34145841859,1.34671648026,4.75744680851,4.74732006126,4.52601568068,22.8255203252
280,1.33384631924,1.32975240313,1.33128404543,4.54468085106,4.44104134763,4.54383464006,23.6653055122
290,1.33357095947,1.32880866734,1.33131771289,4.68085106383,4.74732006126,4.81111903065,24.5199500582
300,1.33208553634,1.32786371923,1.33047093671,4.82553191489,4.82388973966,4.95367070563,25.3240978232
310,1.33208553623,1.32786371912,1.33047093665,4.82553191489,4.82388973966,4.95367070563,26.1147202712
320,1.32707610126,1.32458075377,1.32518624004,4.91914893617,4.82388973966,5.07840342124,26.9567548433
330,1.32362498169,1.3214891884,1.32127815418,4.4170212766,4.51761102603,4.56165359943,27.8190736853
340,1.32360030688,1.32143630966,1.32127633582,4.4170212766,4.51761102603,4.56165359943,28.6398824713
350,1.31810808296,1.32097362193,1.3147935595,5.1914893617,5.13016845329,5.32786885246,29.4413081053
360,1.31662001373,1.31898380188,1.31615985445,5.94042553191,5.13016845329,5.89807555239,30.2815757113
370,1.31660384815,1.31897690761,1.31614604046,5.94042553191,5.13016845329,5.89807555239,31.1077701623
380,1.31489045793,1.3156021818,1.31520238091,5.88085106383,5.13016845329,5.80898075552,31.9359261403
390,1.31462064266,1.31532255531,1.31492469943,5.89787234043,5.13016845329,5.84461867427,32.8609523812
400,1.31390614625,1.31457732115,1.31339552598,5.77021276596,5.2067381317,5.80898075552,33.7077388752
410,1.3138395958,1.31431884709,1.3136934359,5.84680851064,5.28330781011,5.91589451176,34.5124196832
420,1.3116428335,1.31213334653,1.31153572262,5.79574468085,5.28330781011,5.80898075552,35.3532174932
430,1.33509059939,1.33829239997,1.33441471911,5.86382978723,5.28330781011,5.88025659301,36.2131231142
440,1.31121873074,1.3118279451,1.31110840495,5.81276595745,5.35987748851,5.86243763364,37.0822561013
450,1.31069579809,1.31185387959,1.3107553032,5.81276595745,5.35987748851,5.86243763364,37.9303584313
460,1.31153837974,1.31275747764,1.3113439362,5.54042553191,5.28330781011,5.71988595866,38.7883889993
470,1.3103909752,1.31251470208,1.3097707055,5.47234042553,4.90045941807,5.61297220242,39.5968256083
480,1.30943490059,1.31143710791,1.30949361347,5.6,4.97702909648,5.70206699929,40.4523303103
490,1.30881297569,1.31145701228,1.30904827458,5.67659574468,4.97702909648,5.75552387741,41.3369916663
500,1.30853262132,1.31122330377,1.30854645456,5.67659574468,4.97702909648,5.73770491803,42.2175268753
510,1.30770779141,1.31104845876,1.30814938343,5.77872340426,5.13016845329,5.86243763364,43.0152063783
520,1.30753549926,1.31083146466,1.30802121569,5.77872340426,5.13016845329,5.88025659301,43.9307862323
530,1.30749137525,1.31083373141,1.3079739304,5.78723404255,5.13016845329,5.88025659301,44.8456834184
540,1.30339740049,1.30730185534,1.30398283893,6.10212765957,5.28330781011,6.07626514612,45.7034687944
550,1.30339738324,1.30730183929,1.30398282138,6.10212765957,5.28330781011,6.07626514612,46.5380662924
560,1.30458081943,1.30720522979,1.30548227666,6.0085106383,5.28330781011,5.98717034925,47.3619066874
570,1.30404434612,1.30758832547,1.3048475711,6.11914893617,5.28330781011,6.07626514612,48.1776677334
