iterations,fitness,time,fevals
0,481.0,8.997758581,1000
10,506.0,17.636701245,2100
20,510.0,26.285252999,3200
30,525.0,34.513065368,4300
40,553.0,42.465226431,5400
50,569.0,49.849543894,6500
60,604.0,57.690262627,7600
70,620.0,64.890019143,8700
80,626.0,71.962179752,9800
90,630.0,79.506928204,10900
100,642.0,86.736434153,12000
110,644.0,93.27130557,13100
120,641.0,100.19932473,14200
130,640.0,106.834396112,15300
140,662.0,113.40401692,16400
150,653.0,119.857137982,17500
160,668.0,126.728755871,18600
170,666.0,132.900467912,19700
180,676.0,139.136311275,20800
190,668.0,145.389567164,21900
200,668.0,151.716131677,23000
210,672.0,158.0904003,24100
220,670.0,164.375060518,25200
230,672.0,170.683222639,26300
240,676.0,176.951875483,27400
250,670.0,183.570162959,28500
260,676.0,189.865130859,29600
270,674.0,196.539053883,30700
280,672.0,202.899615148,31800
290,680.0,209.391921221,32900
300,678.0,215.895253483,34000
310,674.0,222.375623716,35100
320,678.0,228.801492194,36200
330,672.0,235.168948951,37300
340,682.0,241.568605911,38400
350,674.0,247.865364671,39500
360,680.0,254.114134878,40600
370,678.0,260.387964035,41700
380,680.0,266.993819032,42800
390,672.0,273.09553679,43900
400,684.0,279.273053764,45000
410,680.0,285.618483744,46100
420,676.0,291.764490008,47200
430,678.0,298.029472955,48300
440,674.0,304.795413057,49400
450,678.0,311.270094408,50500
460,684.0,317.448351505,51600
470,682.0,323.519560932,52700
480,680.0,330.122863328,53800
490,678.0,336.266144049,54900
500,682.0,342.321375686,56000
510,676.0,348.860033053,57100
520,680.0,355.78304543,58200
530,674.0,362.396051349,59300
540,676.0,368.72719598,60400
550,676.0,375.347297071,61500
560,674.0,381.550755342,62600
570,674.0,387.841040156,63700
580,680.0,394.171335437,64800
590,676.0,400.772852092,65900
600,682.0,407.144639225,67000
610,676.0,414.032830531,68100
620,674.0,420.559610084,69200
630,676.0,427.010460145,70300
640,684.0,433.294917838,71400
650,678.0,439.978793558,72500
660,680.0,446.349421298,73600
670,680.0,452.778506838,74700
680,678.0,459.123276908,75800
690,680.0,465.745476059,76900
700,680.0,472.04229114,78000
710,682.0,478.123581833,79100
720,684.0,484.718098321,80200
730,690.0,490.853253044,81300
740,690.0,497.088990593,82400
750,680.0,503.556561982,83500
760,678.0,510.467670944,84600
770,682.0,516.748999184,85700
780,682.0,523.198601105,86800
790,674.0,529.734060753,87900
800,684.0,536.030565789,89000
810,679.0,542.543132242,90100
820,690.0,548.815713827,91200
830,692.0,555.660574066,92300
840,686.0,561.740108602,93400
850,692.0,567.914476781,94500
860,694.0,574.474640962,95600
870,684.0,580.792754643,96700
880,688.0,587.084433232,97800
890,682.0,593.890643783,98900
900,696.0,599.950953315,100000
910,696.0,606.474729139,101100
920,690.0,612.627292407,102200
930,690.0,619.677433064,103300
940,690.0,626.128658022,104400
950,694.0,632.257446319,105500
960,694.0,638.874905495,106600
970,696.0,645.156013006,107700
980,690.0,651.609667117,108800
990,690.0,657.87854581,109900
1000,692.0,664.675980693,111000
1010,690.0,671.074832677,112100
1020,692.0,677.427104105,113200
1030,686.0,684.185386404,114300
1040,684.0,690.514717421,115400
1050,694.0,696.80621226,116500
1060,688.0,703.329675764,117600
1070,698.0,709.90663921,118700
1080,692.0,716.245529253,119800
1090,698.0,722.470182018,120900
1100,688.0,729.356219514,122000
1110,692.0,735.506687567,123100
1120,686.0,741.809751883,124200
1130,698.0,748.240647057,125300
1140,690.0,754.460941002,126400
1150,702.0,760.624197089,127500
1160,690.0,766.85790769,128600
1170,692.0,773.474185854,129700
1180,690.0,779.509346551,130800
1190,696.0,785.937926919,131900
1200,686.0,792.377561352,133000
1210,688.0,798.86810501,134100
1220,682.0,805.109726569,135200
1230,690.0,811.336669108,136300
1240,698.0,817.974210032,137400
1250,698.0,824.054826593,138500
1260,694.0,830.452987947,139600
1270,692.0,836.767522753,140700
1280,700.0,843.147021734,141800
1290,688.0,849.33988674,142900
1300,698.0,855.642824763,144000
1310,690.0,862.108630891,145100
1320,694.0,868.244620173,146200
1330,683.0,874.63318666,147300
1340,682.0,881.430140833,148400
1350,686.0,888.30758698,149500
1360,692.0,894.764565672,150600
1370,692.0,901.219565202,151700
1380,690.0,907.836725711,152800
1390,690.0,914.147771526,153900
1400,692.0,920.39940267,155000
1410,696.0,927.032299192,156100
1420,704.0,933.304473454,157200
1430,688.0,939.386026405,158300
1440,696.0,945.528725722,159400
1450,692.0,952.06780236,160500
1460,698.0,958.208648239,161600
1470,698.0,964.536240164,162700
1480,681.0,971.111332537,163800
1490,692.0,977.412431913,164900
1500,704.0,983.711111808,166000
1510,700.0,990.024109478,167100
1520,702.0,996.48830736,168200
1530,698.0,1002.85025614,169300
1540,696.0,1009.30188558,170400
1550,694.0,1015.68493499,171500
1560,694.0,1022.09112279,172600
1570,691.0,1028.164267,173700
1580,694.0,1034.6051399,174800
1590,698.0,1041.13101379,175900
1600,696.0,1047.29334145,177000
1610,702.0,1053.28775042,178100
1620,696.0,1059.87764412,179200
1630,698.0,1066.26100642,180300
1640,688.0,1072.32461664,181400
1650,698.0,1078.34644886,182500
1660,694.0,1085.0957689,183600
1670,698.0,1091.27016097,184700
1680,698.0,1097.47012399,185800
1690,692.0,1104.03537176,186900
1700,696.0,1110.3309131,188000
1710,700.0,1116.52094618,189100
1720,696.0,1122.59544947,190200
1730,704.0,1129.18797257,191300
1740,696.0,1135.45715107,192400
1750,700.0,1141.61900428,193500
1760,696.0,1148.18867116,194600
1770,696.0,1154.86126128,195700
1780,706.0,1161.18589044,196800
1790,690.0,1167.21947759,197900
1800,698.0,1173.89988366,199000
1810,694.0,1179.97945176,200100
1820,694.0,1186.26307376,201200
1830,694.0,1192.97411275,202300
1840,696.0,1199.1279435,203400
1850,690.0,1205.55330681,204500
1860,698.0,1211.75285397,205600
1870,698.0,1218.39356588,206700
1880,698.0,1224.54941846,207800
1890,692.0,1230.89295347,208900
1900,702.0,1237.50371569,210000
1910,694.0,1243.64655098,211100
1920,692.0,1249.95958221,212200
1930,692.0,1256.40965574,213300
1940,702.0,1262.9221727,214400
1950,696.0,1269.19669078,215500
1960,692.0,1275.36110854,216600
1970,696.0,1282.40642787,217700
1980,694.0,1288.98941754,218800
1990,698.0,1295.45085973,219900
2000,696.0,1301.86357154,221000
2010,694.0,1308.10848013,222100
2020,696.0,1314.45357788,223200
2030,696.0,1320.48133677,224300
2040,702.0,1327.22788746,225400
2050,699.0,1333.39540566,226500
2060,698.0,1339.96153748,227600
2070,702.0,1346.01091981,228700
2080,702.0,1352.64120172,229800
2090,704.0,1358.87841553,230900
2100,696.0,1365.09236068,232000
2110,704.0,1371.66292016,233100
2120,702.0,1377.69645042,234200
2130,706.0,1384.12058208,235300
2140,696.0,1389.94172879,236400
2150,704.0,1395.76880673,237500
2160,698.0,1401.63061186,238600
2170,694.0,1407.50157155,239700
2180,706.0,1413.58852439,240800
2190,703.0,1419.4285906,241900
2200,704.0,1425.22005501,243000
2210,700.0,1430.93960798,244100
2220,702.0,1436.8501435,245200
2230,700.0,1442.72651672,246300
2240,700.0,1448.67086013,247400
2250,690.0,1454.74457892,248500
2260,702.0,1460.68560457,249600
2270,706.0,1466.62604142,250700
2280,704.0,1472.487524,251800
2290,693.0,1478.21066494,252900
2300,696.0,1484.1342098,254000
2310,696.0,1490.15247964,255100
2320,708.0,1496.08601986,256200
2330,696.0,1502.01601647,257300
2340,694.0,1507.66818977,258400
2350,698.0,1513.38446196,259500
2360,696.0,1519.17999562,260600
2370,706.0,1525.09616996,261700
2380,694.0,1530.9763718,262800
2390,702.0,1536.80288881,263900
2400,708.0,1542.48522455,265000
2410,690.0,1548.21513583,266100
2420,704.0,1554.01892065,267200
2430,708.0,1559.83921857,268300
2440,704.0,1566.12313981,269400
2450,698.0,1571.99064577,270500
2460,704.0,1577.82908099,271600
2470,698.0,1583.68467387,272700
2480,696.0,1589.66085908,273800
2490,706.0,1595.61508407,274900
2500,696.0,1601.45937087,276000
2510,712.0,1607.48621726,277100
2520,702.0,1613.33445328,278200
2530,710.0,1619.13873872,279300
2540,714.0,1625.03552308,280400
2550,696.0,1630.87700128,281500
2560,698.0,1636.61120368,282600
