iterations,fitness,time,fevals
0,416.0,0.001587766,11
10,418.0,0.002974146,21
20,422.0,0.004403193,31
30,426.0,0.005771938,41
40,430.0,0.00715718,51
50,436.0,0.008636289,61
60,438.0,0.010173994,71
70,442.0,0.01108706,81
80,444.0,0.011893175,91
90,448.0,0.012499041,101
100,452.0,0.013115715,111
110,452.0,0.013809758,121
120,456.0,0.014152228,131
130,456.0,0.014508352,141
140,460.0,0.014645454,151
150,462.0,0.01533836,161
160,462.0,0.015578999,171
170,464.0,0.015716101,181
180,466.0,0.015903834,191
190,470.0,0.016081327,201
200,476.0,0.016234927,211
210,480.0,0.016348136,221
220,482.0,0.016464758,231
230,486.0,0.016608687,241
240,490.0,0.016716776,251
250,490.0,0.016866394,261
260,490.0,0.01700634,271
270,494.0,0.017121824,281
280,496.0,0.017302162,291
290,496.0,0.017417646,301
300,496.0,0.01754849,311
310,496.0,0.017673076,321
320,500.0,0.017773769,331
330,500.0,0.017877307,341
340,500.0,0.018042854,351
350,502.0,0.018140703,361
360,504.0,0.018255618,371
370,506.0,0.018350053,381
380,508.0,0.018503652,391
390,508.0,0.021361745,401
400,508.0,0.021449923,411
410,512.0,0.021561425,421
420,512.0,0.021650741,431
430,516.0,0.021731523,441
440,518.0,0.021811168,451
450,520.0,0.021928359,461
460,522.0,0.02204043,471
470,524.0,0.022151363,481
480,524.0,0.022242954,491
490,530.0,0.022346491,501
500,532.0,0.022441495,511
510,532.0,0.022571771,521
520,534.0,0.022670758,531
530,536.0,0.022755522,541
540,536.0,0.022853939,551
550,538.0,0.022952926,561
560,538.0,0.023040535,571
570,540.0,0.023158863,581
580,544.0,0.023264108,591
590,544.0,0.023376179,601
600,544.0,0.023471184,611
610,544.0,0.023570171,621
620,544.0,0.023668589,631
630,546.0,0.023802278,641
640,548.0,0.023913212,651
650,548.0,0.024023007,661
660,548.0,0.02412882,671
670,548.0,0.024238046,681
680,550.0,0.024352393,691
690,552.0,0.024485512,701
700,554.0,0.024566863,711
710,554.0,0.024678365,721
720,554.0,0.024780196,731
730,554.0,0.024863254,741
740,554.0,0.024953707,751
750,558.0,0.025038472,761
760,562.0,0.025148268,771
770,562.0,0.025233601,781
780,562.0,0.02531609,791
790,562.0,0.025404836,801
800,562.0,0.025494151,811
810,562.0,0.025641493,821
820,564.0,0.025762666,831
830,564.0,0.025833777,841
840,564.0,0.025916265,851
850,564.0,0.026020941,861
860,566.0,0.026096603,871
870,566.0,0.026305954,881
880,568.0,0.026385029,891
890,570.0,0.026583571,901
900,570.0,0.026722948,911
910,570.0,0.026825917,921
920,570.0,0.026908975,931
930,570.0,0.027001703,941
940,570.0,0.02708988,951
950,572.0,0.027174645,961
960,572.0,0.027249738,971
970,572.0,0.027328813,981
980,572.0,0.027410733,991
990,572.0,0.027496635,1001
1000,574.0,0.027589364,1011
1010,576.0,0.02772931,1021
1020,578.0,0.027823177,1031
1030,580.0,0.027897701,1041
1040,582.0,0.027989292,1051
1050,584.0,0.028065523,1061
1060,584.0,0.028162234,1071
1070,586.0,0.028258376,1081
1080,586.0,0.028334607,1091
1090,588.0,0.028407425,1101
1100,588.0,0.028491621,1111
1110,590.0,0.028578661,1121
1120,594.0,0.028658306,1131
