iterations,fitness,time,fevals
0,552.0,12.125431857,1000
10,587.0,23.93349357,2100
20,631.0,35.100856461,3200
30,659.0,45.32634094,4300
40,691.0,54.97784636,5400
50,721.0,64.204968668,6500
60,731.0,73.075869189,7600
70,743.0,81.860575771,8700
80,751.0,90.465359551,9800
90,749.0,98.681922158,10900
100,753.0,106.77230482,12000
110,751.0,114.983733781,13100
120,751.0,123.232875471,14200
130,753.0,131.430721092,15300
140,755.0,139.559239167,16400
150,753.0,147.805174604,17500
160,753.0,156.010228606,18600
170,755.0,164.221000502,19700
180,757.0,172.503328847,20800
190,753.0,180.64519645,21900
200,757.0,188.915158307,23000
210,755.0,196.984586546,24100
220,757.0,205.015576725,25200
230,755.0,213.361331539,26300
240,757.0,221.513583625,27400
250,756.0,229.715966697,28500
260,755.0,237.744528292,29600
270,755.0,246.024069086,30700
280,761.0,254.345923775,31800
290,759.0,262.652144851,32900
300,757.0,270.911547007,34000
310,759.0,279.131479708,35100
320,761.0,287.278555481,36200
330,761.0,295.371800789,37300
340,761.0,303.508066551,38400
350,765.0,311.948046868,39500
360,763.0,320.188664908,40600
370,763.0,328.710447348,41700
380,763.0,337.050249318,42800
390,761.0,345.458898693,43900
400,763.0,353.640249973,45000
410,767.0,361.801343717,46100
420,763.0,370.053856069,47200
430,765.0,378.460251508,48300
440,767.0,386.841763214,49400
450,765.0,395.348100343,50500
460,765.0,403.655371017,51600
470,763.0,411.97807847,52700
480,763.0,420.160331437,53800
490,763.0,428.365717101,54900
500,763.0,436.376397975,56000
510,767.0,444.759461039,57100
520,765.0,452.761099437,58200
530,763.0,461.332933788,59300
540,763.0,469.449071152,60400
550,765.0,477.662305195,61500
560,765.0,485.885403188,62600
570,765.0,493.983595546,63700
580,763.0,502.078143607,64800
590,759.0,510.42661088,65900
600,763.0,518.72033576,67000
610,761.0,526.97743335,68100
620,769.0,535.411765746,69200
630,767.0,543.726457565,70300
640,765.0,551.961545444,71400
650,767.0,560.152685012,72500
660,767.0,568.519571175,73600
670,769.0,576.81269019,74700
680,769.0,584.926755663,75800
690,771.0,592.923289997,76900
700,767.0,600.951621193,78000
710,769.0,609.477123023,79100
720,771.0,617.906055533,80200
730,773.0,626.218493418,81300
740,769.0,634.611878957,82400
750,773.0,642.763626439,83500
760,773.0,650.893855729,84600
770,771.0,659.24443699,85700
780,773.0,667.489892285,86800
790,777.0,675.750301372,87900
800,776.0,683.988600624,89000
810,775.0,692.176975965,90100
820,777.0,700.759305163,91200
830,777.0,709.063650046,92300
840,779.0,717.314789671,93400
850,779.0,725.566670557,94500
860,777.0,733.665368656,95600
870,779.0,741.989284995,96700
880,777.0,750.249925051,97800
890,779.0,758.396853482,98900
900,779.0,766.488893315,100000
910,781.0,774.649092768,101100
920,779.0,782.766430485,102200
930,778.0,790.887153655,103300
940,779.0,798.931571867,104400
950,777.0,806.890364459,105500
960,779.0,815.361711558,106600
970,779.0,823.477215181,107700
980,779.0,831.692788493,108800
990,779.0,839.915714682,109900
1000,781.0,847.981134535,111000
1010,781.0,856.199964161,112100
1020,777.0,864.286697976,113200
1030,781.0,872.62856501,114300
1040,781.0,880.786636821,115400
1050,781.0,889.074658029,116500
1060,781.0,897.199119932,117600
1070,783.0,905.275002775,118700
1080,779.0,913.273129427,119800
1090,781.0,921.679047001,120900
1100,781.0,930.050960997,122000
1110,787.0,938.60512284,123100
1120,781.0,947.04788445,124200
1130,785.0,955.27200758,125300
1140,785.0,963.682781752,126400
1150,785.0,972.051606116,127500
1160,783.0,980.467594146,128600
1170,785.0,988.497968787,129700
1180,781.0,996.693565594,130800
1190,783.0,1004.85390442,131900
1200,783.0,1013.09167404,133000
1210,785.0,1021.30077056,134100
1220,783.0,1029.49401501,135200
1230,785.0,1037.68644084,136300
1240,787.0,1045.98062652,137400
1250,783.0,1054.20072932,138500
1260,785.0,1062.40243484,139600
1270,783.0,1070.54170661,140700
1280,781.0,1078.60542037,141800
1290,783.0,1087.25082844,142900
1300,783.0,1095.38883387,144000
1310,787.0,1103.42628206,145100
1320,785.0,1111.9991535,146200
1330,787.0,1120.47346735,147300
1340,789.0,1129.11772456,148400
1350,785.0,1137.17291012,149500
1360,787.0,1145.17380384,150600
1370,785.0,1153.52047229,151700
1380,785.0,1161.60389461,152800
1390,787.0,1169.58843678,153900
1400,787.0,1177.9693102,155000
1410,785.0,1186.33182559,156100
1420,785.0,1194.4913492,157200
1430,789.0,1202.63174282,158300
1440,787.0,1210.92884007,159400
1450,785.0,1219.20413923,160500
1460,789.0,1227.49174515,161600
1470,783.0,1235.76922259,162700
1480,789.0,1244.07063599,163800
1490,789.0,1252.35634353,164900
1500,787.0,1260.54547777,166000
1510,789.0,1268.71623522,167100
1520,789.0,1276.89998095,168200
1530,787.0,1284.92669138,169300
1540,787.0,1293.2936003,170400
1550,787.0,1301.89739421,171500
1560,789.0,1310.14721515,172600
1570,789.0,1318.30904447,173700
1580,791.0,1326.5914974,174800
1590,791.0,1335.02183108,175900
1600,791.0,1343.48733456,177000
1610,789.0,1351.60691427,178100
1620,789.0,1359.84852331,179200
1630,791.0,1367.94396908,180300
1640,789.0,1376.29105111,181400
