iterations,fitness,time,fevals
0,0.0185568687357,4.012971786,1000
10,0.0200999019924,7.840073615,2100
20,0.0195666433913,11.905280705,3200
30,0.0203802677863,15.881302073,4300
40,0.0187798588104,19.882159956,5400
50,0.0188938962346,23.801223111,6500
60,0.0193463400951,28.222776004,7600
70,0.0195437417958,32.003590254,8700
80,0.0180700377743,36.145120506,9800
90,0.0185788631549,40.167178572,10900
100,0.0191945108034,44.050684516,12000
110,0.0204309055853,47.96274409,13100
120,0.0191312407742,51.836698402,14200
130,0.0196725239293,55.697740093,15300
140,0.0190414939461,59.52245316,16400
150,0.0198849965824,63.386499718,17500
160,0.0186496241048,67.205496597,18600
170,0.0186201212608,71.1095906,19700
180,0.0191363403624,74.990338005,20800
190,0.0190817857815,78.871794814,21900
200,0.0203741762155,82.767082999,23000
210,0.0185332041591,86.688892177,24100
220,0.0197984186023,90.455921131,25200
230,0.0203570888584,94.431313877,26300
240,0.0193771674488,98.235524218,27400
250,0.0191703224781,102.089332497,28500
260,0.0198105733369,105.81612741,29600
270,0.0196839689457,109.730496669,30700
280,0.0198483404544,113.739813918,31800
290,0.0189225089492,117.481721912,32900
300,0.0202111146608,121.251705671,34000
310,0.0194097926073,125.256489451,35100
320,0.0196289170543,129.201159965,36200
330,0.0196701654801,133.00293262,37300
340,0.0190576486725,136.845751688,38400
350,0.0183904437984,140.659616059,39500
360,0.0195375690616,144.61122075,40600
370,0.0189465800371,148.436073195,41700
380,0.020230543334,152.249055221,42800
390,0.0188123189083,155.991908138,43900
400,0.0191099536106,159.805010768,45000
410,0.0203462819187,163.659878885,46100
420,0.0209367412752,167.478677791,47200
430,0.0208547524481,171.275479502,48300
440,0.0191982440464,175.129176279,49400
450,0.018655588191,178.980600917,50500
460,0.0203503889934,182.836711486,51600
470,0.0198704673923,186.682837501,52700
480,0.0202145234132,190.533787686,53800
490,0.0190268835339,194.356826515,54900
500,0.0208478983715,198.289395642,56000
510,0.0195230986621,202.085894705,57100
520,0.0194170766055,205.923805975,58200
530,0.0195919238244,209.757849376,59300
540,0.0190692172442,213.633239562,60400
550,0.0197529578492,217.541100173,61500
560,0.0196339560457,221.531206072,62600
570,0.0188974027379,225.299989476,63700
580,0.0180436665325,229.10325148,64800
